,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T16:02:03.035+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31826,,,0,73,2325,30,207,2278,4,31.13.92.36,,2642,,
1,facebook,2019-10-08T16:02:06.240+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,0,149,2771,34,97,2738,1,31.13.92.14,,3054,value,
2,facebook,2019-10-08T16:02:06.248+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,0,4,2781,37,97,2749,1,31.13.92.14,,2922,value,
3,facebook,2019-10-08T16:02:06.259+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,0,66,2793,36,88,2761,1,31.13.92.14,,2985,value,
4,facebook,2019-10-08T16:02:06.266+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,0,12,2800,37,89,2764,0,31.13.92.14,,2940,value,
5,facebook,2019-10-08T16:02:06.269+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,0,3,2803,34,96,2771,0,31.13.92.14,,2939,value,
6,facebook,2019-10-08T16:02:06.280+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,0,3,2814,35,99,2781,0,31.13.92.14,,2953,value,
7,facebook,2019-10-08T16:02:06.357+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,0,-1,-1,130,-1,0,31.13.92.14,,131,value,
8,facebook,2019-10-08T16:02:06.374+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,-1,0,-1,-1,114,-1,0,31.13.92.14,,115,value,
9,facebook,2019-10-08T16:02:06.376+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/WkArKOJ4DPO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80950,,,-1,134,-1,-1,111,-1,0,31.13.92.14,,246,value,
10,facebook,2019-10-08T16:02:06.596+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,84,204,0,104,178,0,31.13.92.14,,395,,
11,facebook,2019-10-08T16:02:06.653+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,1,229,0,83,203,0,31.13.92.14,,315,,
12,facebook,2019-10-08T16:02:06.743+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,149,-1,-1,95,-1,1,31.13.92.14,,246,,
13,facebook,2019-10-08T16:02:06.790+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,16,-1,-1,89,-1,0,31.13.92.14,,106,,
14,facebook,2019-10-08T16:02:06.902+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,-1,2,-1,-1,91,-1,0,31.13.92.14,,94,,
15,facebook,2019-10-08T16:02:06.907+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,32,161,0,92,126,0,31.13.92.14,,287,,
16,facebook,2019-10-08T16:02:06.982+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/ya/l/he_IL/Hq3do1Env69.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344900,,,-1,324,-1,-1,114,-1,0,31.13.92.14,,439,value,
17,facebook,2019-10-08T16:02:07.582+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/CcQjMhoZ1M9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9894,,,-1,8,-1,-1,88,-1,0,31.13.92.14,,97,value,
18,facebook,2019-10-08T16:02:07.585+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10448,,,-1,9,-1,-1,116,-1,0,31.13.92.14,,126,value,
19,facebook,2019-10-08T16:02:07.585+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yD/l/he_IL/ETjJqKfg52T.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17157,,,-1,4,-1,-1,114,-1,0,31.13.92.14,,119,value,
20,facebook,2019-10-08T16:02:07.585+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yj/l/he_IL/34_P0AKMhic.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21732,,,-1,38,-1,-1,91,-1,0,31.13.92.14,,130,value,
21,facebook,2019-10-08T16:02:07.587+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yl/l/he_IL/ci8wWek9DRP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26739,,,-1,48,-1,-1,109,-1,0,31.13.92.14,,158,value,
22,facebook,2019-10-08T16:02:07.684+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yr/l/he_IL/uqj766QyrnO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10642,,,-1,7,-1,-1,92,-1,0,31.13.92.14,,100,value,
23,facebook,2019-10-08T16:02:07.698+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,145,-1,0,31.13.92.36,,146,,
24,facebook,2019-10-08T16:02:07.711+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,-1,1,-1,-1,101,-1,0,31.13.92.14,,103,value,
