,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,491,HTTP/1.1,GET,,https://www.flixster.com/,,22283,,,text/html; charset=utf-8,0,921,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:53.865+02:00,3260,0,,953,132,72,1,916,2100
1,,,0,,586,HTTP/1.1,GET,,https://www.flixster.com/_next/static/7uvHKGAuhTxAeYWTH1Jku/pages/BoxOfficePage.js,,6899,,,application/javascript; charset=UTF-8,0,985,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.049+02:00,105,-1,,-1,-1,1,0,-1,103
2,,,0,,577,HTTP/1.1,GET,,https://www.flixster.com/_next/static/7uvHKGAuhTxAeYWTH1Jku/pages/_app.js,,24329,,,application/javascript; charset=UTF-8,0,1132,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.050+02:00,1258,0,,943,142,24,1,916,147
3,,,0,,606,HTTP/1.1,GET,,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,,22144,,,font/woff2,0,908,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.162+02:00,147,-1,,-1,-1,27,0,-1,119
4,,,0,,607,HTTP/1.1,GET,,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,,21576,,,font/woff2,0,908,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.235+02:00,338,0,,171,0,2,4,138,160
5,,,0,,581,HTTP/1.1,GET,,https://www.flixster.com/_next/static/runtime/webpack-035ac2b14bde147cb4a8.js,,746,,,application/javascript; charset=UTF-8,0,983,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.237+02:00,95,-1,,-1,-1,0,0,-1,94
6,,,0,,580,HTTP/1.1,GET,,https://www.flixster.com/_next/static/chunks/commons.8dd98de1441528a0fc25.js,,398652,,,application/javascript; charset=UTF-8,0,1134,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.240+02:00,609,0,,176,0,284,4,135,144
7,,,0,,578,HTTP/1.1,GET,,https://www.flixster.com/_next/static/runtime/main-b8add757098b22d4c9af.js,,4797,,,application/javascript; charset=UTF-8,0,985,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.241+02:00,308,0,,177,0,0,2,145,128
8,,,0,,592,HTTP/1.1,GET,,https://www.flixster.com/static/logo/logo_Mobile.svg,,206694,,,image/svg+xml,0,960,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.245+02:00,529,0,,182,0,199,0,140,146
9,,,0,,593,HTTP/1.1,GET,,https://www.flixster.com/static/logo/logo_Desktop.svg,,214320,,,image/svg+xml,0,960,HTTP/1.1,,200,OK,23.198.28.168,2019-11-01T10:34:56.314+02:00,283,-1,,-1,-1,169,0,-1,113
