,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,489,HTTP/1.1,GET,,https://www.care2.com/,20578,,,text/html; charset=UTF-8,0,392,HTTP/1.1,,200,OK,8.47.77.87,2019-10-30T17:34:54.856+02:00,2548,0,,1744,6,237,4,1736,555
1,,,0,,427,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/3249627.large_-300x185.jpg,19937,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:55.728+02:00,766,0,,6,7,196,1,-1,554
2,,,0,,351,HTTP/1.1,GET,,https://www.gstatic.com/chrome/intelligence/assist/ranker/models/translate/2017/03/translate_ranker_model_20170329.pb.bin,2407,,,text/html,0,483,HTTP/1.1,,200,OK,172.217.169.35,2019-10-30T17:34:55.898+02:00,811,0,,722,10,1,1,642,74
3,,,0,,381,HTTP/1.1,GET,,https://cdn.optimizely.com/js/22866392.js,126140,,,text/javascript; charset=utf-8,0,1023,HTTP/1.1,,200,OK,23.44.249.145,2019-10-30T17:34:56.312+02:00,949,0,,614,8,83,1,605,241
4,,,0,,468,HTTP/1.1,GET,value,https://dingo.care2.com/assets/css/main.css?1572365429,6964,,,text/css,0,380,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:56.603+02:00,1073,0,,909,6,0,0,899,155
5,,,0,,473,HTTP/1.1,GET,value,https://dingo.care2.com/assets/css/home_page.css?1572365429,7527,,,text/css,0,381,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:56.606+02:00,1063,0,,908,3,0,2,897,148
6,,,0,,488,HTTP/1.1,GET,,https://dingo.care2.com/petitions/global/sign-now.jpg,15238,,,image/jpeg,0,353,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:56.612+02:00,1171,0,,912,6,5,1,899,245
7,,,0,,424,HTTP/1.1,GET,value,https://dingo.care2.com/assets/js/home_page.js?1572365346,108201,,,text/javascript,0,390,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:57.289+02:00,583,0,,388,0,98,1,382,94
8,,,0,,425,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/homeless-man-300x200.jpg,15407,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:57.491+02:00,589,-1,,-1,-1,104,0,-1,484
9,,,0,,415,HTTP/1.1,GET,value,https://fonts.googleapis.com/css?family=Roboto+Condensed:700,477,,,text/css; charset=utf-8,0,657,HTTP/1.1,,200,OK,172.217.169.42,2019-10-30T17:34:57.718+02:00,1022,0,,937,5,1,1,867,77
10,,,0,,416,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/fox-300x200.jpg,13383,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:58.005+02:00,585,0,,6,0,26,2,-1,549
11,,,0,,432,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/lacey-breastfeeding-300x212.jpg,15544,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:58.006+02:00,592,0,,6,0,40,2,-1,541
12,,,0,,551,HTTP/1.1,GET,,https://dingo.care2.com/care2_in_the_news/Billboardlogo.jpg,56060,,,image/jpeg,0,353,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:58.015+02:00,272,-1,,-1,-1,61,0,-1,210
13,,,0,,551,HTTP/1.1,GET,,https://dingo.care2.com/care2_in_the_news/YahooNewslogo.jpg,11063,,,image/jpeg,0,353,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:58.015+02:00,202,-1,,-1,-1,1,1,-1,200
14,,,0,,427,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/starbucksstraw-300x185.jpg,10787,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:58.015+02:00,605,0,,7,0,110,0,-1,487
15,,,0,,548,HTTP/1.1,GET,,https://dingo.care2.com/care2_in_the_news/Forbeslogo.jpg,8286,,,image/jpeg,0,352,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:58.016+02:00,210,-1,,-1,-1,0,0,-1,209
16,,,0,,421,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/thecrown-300x185.jpg,12050,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:58.016+02:00,653,0,,6,0,185,0,-1,461
17,,,0,,425,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/catdeclawing-300x185.jpg,11219,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:58.090+02:00,525,-1,,-1,-1,85,0,-1,439
18,,,0,,424,HTTP/1.1,GET,,http://www.thepetitionsite.com/activist-university/wp-content/uploads/2019/08/kyloherodog-300x185.jpg,16925,,,image/jpeg,0,314,HTTP/1.1,,200,OK,93.184.220.110,2019-10-30T17:34:58.218+02:00,610,0,,5,0,66,2,-1,536
19,,,0,,554,HTTP/1.1,GET,,https://dingo.care2.com/care2_in_the_news/BostonHeraldlogo.jpg,9482,,,image/jpeg,0,352,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:58.225+02:00,236,-1,,-1,-1,4,0,-1,231
20,,,0,,547,HTTP/1.1,GET,,https://dingo.care2.com/care2_in_the_news/heavylogo.jpg,4263,,,image/jpeg,0,352,HTTP/1.1,,200,OK,93.184.220.187,2019-10-30T17:34:58.235+02:00,227,-1,,-1,-1,0,0,-1,226
21,,,0,,375,HTTP/1.1,GET,,https://platform.linkedin.com/in.js,55596,,,text/javascript; charset=UTF-8,0,437,HTTP/1.1,,200,OK,23.38.59.114,2019-10-30T17:34:58.238+02:00,1909,0,,1699,6,54,0,1692,147
