,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,465,HTTP/1.1,GET,,https://asoftmurmur.com/,188756,,,text/html; charset=UTF-8,0,501,HTTP/1.1,,200,OK,192.241.156.233,2019-10-05T09:54:08.731+03:00,3308,0,,2425,212,321,9,2374,338
1,,,0,,399,HTTP/1.1,GET,,https://asoftmurmur.com/assets/img/spinner.gif,5553,,,image/gif,0,460,HTTP/1.1,,200,OK,192.241.156.233,2019-10-05T09:54:09.455+03:00,177,-1,,-1,-1,0,2,-1,174
2,,,0,,405,HTTP/1.1,GET,,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,43716,,,application/font-sfnt,0,497,HTTP/1.1,,200,OK,192.241.156.233,2019-10-05T09:54:09.734+03:00,218,-1,,-1,-1,7,0,-1,209
3,,,0,,403,HTTP/1.1,GET,,https://asoftmurmur.com/assets/img/bg-high-res.jpg,140196,,,image/jpeg,0,464,HTTP/1.1,,200,OK,192.241.156.233,2019-10-05T09:54:09.798+03:00,886,0,,306,0,274,4,272,301
4,,,0,,413,HTTP/1.1,GET,,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,50481,,,image/png,0,461,HTTP/1.1,,200,OK,192.241.156.233,2019-10-05T09:54:09.799+03:00,782,0,,344,0,121,2,298,315
5,,,0,,413,HTTP/1.1,GET,,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,32794,,,image/png,0,461,HTTP/1.1,,200,OK,192.241.156.233,2019-10-05T09:54:09.801+03:00,667,0,,331,0,15,3,291,316
6,,,0,,361,HTTP/1.1,GET,,https://www.google-analytics.com/analytics.js,17803,,,text/javascript,0,541,HTTP/1.1,,200,OK,172.217.22.110,2019-10-05T09:54:10.386+03:00,1334,0,,1212,0,30,0,1174,90
7,,,0,,677,HTTP/1.1,GET,value,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1837256485&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=1193841604&gjid=1595859947&cid=965205561.1570258451&tid=UA-42700626-2&_gid=1189861566.1570258451&_r=1&z=793156108,418,,,text/html; charset=UTF-8,0,645,HTTP/1.1,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=965205561.1570258451&jid=1193841604&_gid=1189861566.1570258451&gjid=1595859947&_v=j79&z=793156108,302,Found,172.217.22.110,2019-10-05T09:54:10.550+03:00,103,-1,,-1,-1,0,0,-1,102
8,,,0,,397,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,-1,,,video/mp4,0,453,HTTP/1.1,,206,Partial Content,138.197.67.91,2019-10-05T09:54:11.478+03:00,2475,0,,1900,121,140,0,1862,312
9,,,0,,397,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,-1,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,138.197.67.91,2019-10-05T09:54:11.478+03:00,2485,0,,1909,114,146,1,1862,313
