,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.dns,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:55:12.572+03:00,GET,https://www.onread.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,906,9983,,,1777,0,36,154,91,2,1736,104.24.119.116,,2063,,
1,,2019-10-09T18:55:12.794+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,674,0,,200,OK,HTTP/1.1,0,text/css,,,516,19958,,,-1,-1,31,100,-1,1,-1,104.24.119.116,,132,value,
2,,2019-10-09T18:55:12.935+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,659,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,-1,-1,2,93,-1,0,-1,104.24.119.116,,96,value,
3,,2019-10-09T18:55:12.956+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,515,253,,,147,0,1,100,0,1,125,104.24.119.116,,251,value,
4,,2019-10-09T18:55:12.957+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,675,0,,200,OK,HTTP/1.1,0,text/css,,,516,6203,,,153,0,11,98,0,1,127,104.24.119.116,,264,value,
5,,2019-10-09T18:55:12.957+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,677,0,,200,OK,HTTP/1.1,0,text/css,,,518,26000,,,148,0,39,112,0,2,125,104.24.119.116,,302,value,
6,,2019-10-09T18:55:12.959+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,162,0,1,117,0,0,128,104.24.119.116,,281,value,
7,,2019-10-09T18:55:13.045+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,515,1646,,,-1,-1,1,97,-1,0,-1,104.24.119.116,,99,value,
8,,2019-10-09T18:55:13.079+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,-1,-1,3,89,-1,0,-1,104.24.119.116,,93,value,
9,,2019-10-09T18:55:13.081+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,653,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,-1,-1,30,97,-1,0,-1,104.24.119.116,,128,value,
10,,2019-10-09T18:55:13.083+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,658,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,275,0,1,107,0,0,253,104.24.119.116,,384,value,
11,,2019-10-09T18:55:13.091+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.css?v=1465990458,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/css,,,515,545,,,-1,-1,1,107,-1,0,-1,104.24.119.116,,109,value,
12,,2019-10-09T18:55:13.115+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,807,,,-1,-1,0,105,-1,0,-1,104.24.119.116,,106,value,
