,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:17:39.748+03:00,GET,https://www.ravelry.com/account/loginhttp://hackertyper.com/,HTTP/1.1,501,0,,302,Found,HTTP/1.1,0,text/html; charset=utf-8,,https://www.ravelry.com/account/login,3237,103,,,33,195,2324,4,2367,14,0,192.34.84.3,,2616,
1,,2019-10-09T16:17:39.981+03:00,GET,https://www.ravelry.com/account/login,HTTP/1.1,1047,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2545,8758,,,-1,191,-1,2,-1,4,-1,192.34.84.3,,198,
2,,2019-10-09T16:17:42.916+03:00,GET,https://style-cdn.ravelrycache.com/stylesheets/splash_1910041629.css,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,text/css,,,454,1884,,,91,140,2543,69,2588,0,0,151.139.128.10,,2890,
3,,2019-10-09T16:17:43.028+03:00,GET,https://style-cdn.ravelrycache.com/javascripts/base11_1906031629.js,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,application/javascript,,,470,60791,,,93,137,2650,13,2696,364,0,151.139.128.10,,3304,
4,,2019-10-09T16:17:43.061+03:00,GET,https://style-cdn.ravelrycache.com/javascripts/ravelry_1910041630.js,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript,,,472,156297,,,90,142,2687,36,2734,850,0,151.139.128.10,,3854,
5,,2019-10-09T16:17:43.061+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/ravelry-logo-81r-300x-pride.png,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,image/png,,,410,16676,,,90,137,2694,27,2734,1333,0,151.139.128.10,,4323,
6,,2019-10-09T16:17:43.110+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/animals-with-outlines.png,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,image/png,,,412,148960,,,90,93,2744,0,2783,916,0,151.139.128.10,,3884,
7,,2019-10-09T16:17:44.132+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/verabee2.gif,HTTP/1.1,426,0,,200,OK,HTTP/1.1,0,image/gif,,,408,1121,,,-1,226,-1,1,-1,1,-1,151.139.128.10,,229,
8,,2019-10-09T16:17:44.139+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/background-color.gif,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,image/gif,,,406,154,,,-1,231,-1,1,-1,1,-1,151.139.128.10,,234,
9,,2019-10-09T16:17:44.139+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/vertical-gradient.png,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,image/png,,,407,280,,,-1,230,-1,0,-1,1,-1,151.139.128.10,,233,
10,,2019-10-09T16:17:44.140+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/rays2.png,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,image/png,,,411,80267,,,-1,218,-1,1,-1,449,-1,151.139.128.10,,669,
11,,2019-10-09T16:17:44.396+03:00,GET,https://style-cdn.ravelrycache.com/images/join-now-2.png,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,image/png,,,408,1887,,,-1,340,-1,0,-1,1,-1,151.139.128.10,,343,
12,,2019-10-09T16:17:44.396+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/passfields-nolabels.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,408,1684,,,-1,343,-1,1,-1,1,-1,151.139.128.10,,346,
13,,2019-10-09T16:17:44.396+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/yarn-no-gradient-2.gif,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,image/gif,,,409,5829,,,-1,363,-1,0,-1,367,-1,151.139.128.10,,731,
14,,2019-10-09T16:17:44.593+03:00,GET,https://style-cdn.ravelrycache.com/images/btn0.png,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/png,,,408,1189,,,-1,338,-1,1,-1,1,-1,151.139.128.10,,341,
15,,2019-10-09T16:17:44.777+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/yarn-tiles-3.gif,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/gif,,,408,2745,,,-1,161,-1,0,-1,77,-1,151.139.128.10,,239,
16,,2019-10-09T16:17:44.786+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/red-gradient-3.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,408,2472,,,-1,154,-1,0,-1,70,-1,151.139.128.10,,225,
17,,2019-10-09T16:17:44.812+03:00,GET,https://style-cdn.ravelrycache.com/images/join-now-lit-2.png,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/png,,,408,1907,,,-1,315,-1,0,-1,0,-1,151.139.128.10,,316,
18,,2019-10-09T16:17:45.012+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/yarn-footer-3.gif,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,image/gif,,,409,5500,,,-1,361,-1,0,-1,570,-1,151.139.128.10,,932,
