,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:24:45.754+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,0,132,4811,4777,1,176,2,209.95.52.192,,5125,
1,,2019-10-09T16:24:46.077+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,-1,299,-1,-1,-1,160,1,209.95.52.192,,461,
2,,2019-10-09T16:24:46.285+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,0,1,281,251,0,166,1,209.95.52.192,,450,
3,,2019-10-09T16:24:46.290+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,0,2,288,256,0,158,1,209.95.52.192,,451,
4,,2019-10-09T16:24:46.293+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,0,259,291,262,0,161,1,209.95.52.192,,713,
5,,2019-10-09T16:24:46.297+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,0,399,294,263,0,161,0,209.95.52.192,,856,
6,,2019-10-09T16:24:46.367+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,0,296,290,265,0,168,1,209.95.52.192,,756,
7,,2019-10-09T16:24:46.726+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,-1,0,-1,-1,-1,186,0,209.95.52.192,,187,
8,,2019-10-09T16:24:46.865+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,-1,15,-1,-1,-1,167,0,209.95.52.192,,183,
9,,2019-10-09T16:24:47.056+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,-1,0,-1,-1,-1,180,0,209.95.52.192,,181,
10,,2019-10-09T16:24:47.242+03:00,GET,https://lizardpoint.com/shared/images/stamps500.gif,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/gif,,,190,80528,,,-1,168,-1,-1,-1,173,0,209.95.52.192,,342,
11,,2019-10-09T16:24:47.592+03:00,GET,https://lizardpoint.com/images/olderstudents1200.jpg,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,image/jpeg,,,192,381692,,,-1,534,-1,-1,-1,164,0,209.95.52.192,,700,
12,,2019-10-09T16:24:48.300+03:00,GET,https://lizardpoint.com/images/trivia-globe-qmark.gif,HTTP/1.1,458,0,,200,OK,HTTP/1.1,0,image/gif,,,189,9449,,,-1,4,-1,-1,-1,160,0,209.95.52.192,,165,
13,,2019-10-09T16:24:48.471+03:00,GET,https://lizardpoint.com/images/globe-search2.gif,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/gif,,,190,11055,,,-1,4,-1,-1,-1,161,0,209.95.52.192,,165,
14,,2019-10-09T16:24:48.643+03:00,GET,https://lizardpoint.com/images/artist-quizzes-van-gogh.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,190,54980,,,-1,21,-1,-1,-1,163,0,209.95.52.192,,185,
15,,2019-10-09T16:24:49.385+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33951,,,0,75,2541,2504,0,93,0,172.217.22.42,,2711,
16,,2019-10-09T16:24:50.612+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css,,,662,6663,,,0,240,4578,4540,32,142,0,104.19.197.151,,4994,
17,,2019-10-09T16:24:51.365+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,672,77160,,,0,462,221,192,0,103,0,104.19.197.151,,788,value
18,,2019-10-09T16:24:51.434+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,font/woff2,,,191,18028,,,0,130,290,260,0,169,0,209.95.52.192,,591,
19,,2019-10-09T16:24:52.849+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,34,1827,1795,1,112,0,216.58.206.14,,1976,
20,,2019-10-09T16:24:53.026+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=1325135214&t=pageview&_s=1&dl=https%3A%2F%2Flizardpoint.com%2F&ul=en-us&de=UTF-8&dt=Lizard%20Point%20Quizzes%20-%20Interactive%20Map%20Quizzes&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=1044618019&gjid=1435671626&cid=409099041.1570627493&tid=UA-11262935-5&_gid=1641948561.1570627493&_r=1&z=2073659787,HTTP/1.1,725,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=409099041.1570627493&jid=1044618019&_gid=1641948561.1570627493&gjid=1435671626&_v=j79&z=2073659787,646,419,,,-1,1,-1,-1,-1,103,0,216.58.206.14,,105,value
