,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:49:31.965+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,430,2122,,,1531,21,0,2,124,1496,130,142.93.108.123,,1811,
1,,2019-10-09T18:49:32.151+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,-1,3,-1,1,112,-1,-1,142.93.108.123,,117,
2,,2019-10-09T18:49:32.279+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,1246,,,-1,2,-1,1,98,-1,-1,142.93.108.123,,102,value
3,,2019-10-09T18:49:32.375+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,448,127,,,213,1,0,1,98,181,0,142.93.108.123,,315,
4,,2019-10-09T18:49:34.411+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,2249,2,0,1,117,2218,1,172.217.23.138,,2372,value
5,,2019-10-09T18:49:34.412+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,2250,2,0,1,117,2219,1,172.217.23.138,,2372,value
6,,2019-10-09T18:49:35.381+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,3170,80,0,1,115,3143,35,216.58.207.66,,3403,
7,,2019-10-09T18:49:35.644+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,104,-1,4,115,-1,-1,216.58.207.66,,224,
8,,2019-10-09T18:49:35.892+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,48,-1,0,119,-1,-1,216.58.207.66,,168,
9,,2019-10-09T18:49:37.311+03:00,GET,https://fonts.gstatic.com/s/josefinslab/v10/lW-5wjwOK3Ps5GSJlNNkMalnqg6v.woff2,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,37264,,,2656,76,0,0,101,2626,0,172.217.22.3,,2836,
10,,2019-10-09T18:49:37.409+03:00,GET,https://fonts.gstatic.com/s/cookie/v11/syky-y18lb0tSbf9kgqS.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,14456,,,2754,25,0,1,80,2724,0,172.217.22.3,,2862,
11,,2019-10-09T18:49:38.441+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,2795,0,0,0,97,2746,0,172.217.16.162,,2895,value
12,,2019-10-09T18:49:39.226+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,3567,1,0,0,111,3539,0,172.217.16.162,,3681,value
13,,2019-10-09T18:49:41.070+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,6503,22,0,0,84,6474,2,216.58.205.232,,6615,
14,,2019-10-09T18:49:41.314+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1256773883&utmhn=theuselessweb.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=The%20Useless%20Web&utmhid=1871979339&utmr=-&utmp=%2F&utmht=1570636181203&utmac=UA-35944549-1&utmcc=__utma%3D17164284.673520218.1570636179.1570636179.1570636179.1%3B%2B__utmz%3D17164284.1570636181.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1419145287&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAQAAAAE~,HTTP/1.1,864,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,-1,0,98,-1,-1,216.58.205.232,,99,value
