,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:14:08.044+03:00,GET,https://thisissand.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,250,5446,,,20,5805,0,93,223,5762,2,198.58.116.172,,6145,
1,,2019-10-09T17:14:08.326+03:00,GET,https://thisissand.com/dist/bundle.min.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css,,,235,52817,,,144,-1,-1,-1,388,-1,1,198.58.116.172,,533,
2,,2019-10-09T17:14:08.863+03:00,GET,https://thisissand.com/dist/bundle.min.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript,,,251,976080,,,681,-1,-1,-1,210,-1,1,198.58.116.172,,893,
3,,2019-10-09T17:14:08.962+03:00,GET,https://thisissand.com/assets/images/appStoreBadge.png,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,image/png,,,234,3531,,,0,629,0,0,187,594,0,198.58.116.172,,819,
4,,2019-10-09T17:14:08.975+03:00,GET,https://thisissand.com/assets/images/playStoreBadge.png,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/png,,,235,8120,,,0,643,0,0,214,607,0,198.58.116.172,,859,
5,,2019-10-09T17:14:09.155+03:00,GET,https://thisissand.com/assets/images/instagram.png,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,image/png,,,234,2731,,,0,-1,-1,-1,194,-1,0,198.58.116.172,,195,
6,,2019-10-09T17:14:09.196+03:00,GET,https://thisissand.com/assets/images/facebook.png,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,image/png,,,234,2236,,,0,-1,-1,-1,200,-1,0,198.58.116.172,,201,
7,,2019-10-09T17:14:09.356+03:00,GET,https://thisissand.com/assets/images/twitter.png,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,image/png,,,234,2605,,,0,-1,-1,-1,225,-1,0,198.58.116.172,,226,
8,,2019-10-09T17:14:09.403+03:00,GET,https://thisissand.com/assets/images/tumblr.png,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/png,,,234,2344,,,0,-1,-1,-1,207,-1,0,198.58.116.172,,208,
9,,2019-10-09T17:14:11.767+03:00,GET,https://d2wy8f7a9ursnm.cloudfront.net/bugsnag-2.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,542,2962,,,2,3374,0,59,107,3345,0,13.226.6.106,,3544,
10,,2019-10-09T17:14:11.890+03:00,GET,https://thisissand.com/dist/8e2d6d389bedb4ae73631ddbcdab9c33.png,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/png,,,238,634581,,,807,-1,-1,-1,368,-1,0,198.58.116.172,,1177,
11,,2019-10-09T17:14:11.890+03:00,GET,https://thisissand.com/dist/7d1cb99317f654a8c6b7723f3ff15084.jpg,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/jpeg,,,239,547362,,,708,-1,-1,-1,358,-1,0,198.58.116.172,,1067,
12,,2019-10-09T17:14:12.169+03:00,GET,https://thisissand.com/dist/ff56f4e71bb98dcb3d33f6e529b5275f.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,24008,,,3,-1,-1,-1,360,-1,1,198.58.116.172,,364,
13,,2019-10-09T17:14:12.169+03:00,GET,https://thisissand.com/dist/a44bc33777315bb6d29a623b3125de62.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,23728,,,3,640,0,0,384,607,0,198.58.116.172,,1029,
14,,2019-10-09T17:14:16.520+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,539,17803,,,40,6709,0,32,111,6681,0,216.58.206.14,,6894,
15,,2019-10-09T17:14:16.697+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1817005525&t=pageview&_s=1&dl=https%3A%2F%2Fthisissand.com%2F&ul=en-us&de=UTF-8&dt=Thisissand&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAAAB~&jid=1233269886&gjid=1640812935&cid=302700053.1570630457&tid=UA-8120964-1&_gid=347610035.1570630457&_r=1&z=578282459,HTTP/1.1,666,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,-1,-1,-1,103,-1,0,216.58.206.14,,104,value
