,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:36:17.735+03:00,GET,https://the-dots.com/,HTTP/1.1,1376,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,492,12228,,,10,-1,-1,-1,-1,111,0,104.20.55.187,,122,
1,,2019-10-09T17:36:17.869+03:00,GET,https://the-dots.com/dist/app.babbb93c.css,HTTP/1.1,1285,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,614,69404,,,119,-1,-1,-1,-1,119,0,104.20.55.187,,239,
2,,2019-10-09T17:36:18.151+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NH2FRP&l=_gtm,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,25922,,,50,-1,-1,-1,-1,113,0,216.58.207.72,,164,value
3,,2019-10-09T17:36:18.533+03:00,GET,https://cdn.mxpnl.com/libs/mixpanel-2-latest.min.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,816,23725,,,245,0,379,0,342,157,0,130.211.5.208,,782,
4,,2019-10-09T17:36:18.572+03:00,GET,https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,application/javascript,,,764,17889,,,1297,0,407,0,370,96,0,13.226.6.226,,1801,
5,,2019-10-09T17:36:18.572+03:00,GET,https://fullstory.com/s/fs.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,451,68410,,,162,0,410,0,377,101,0,216.239.38.21,,674,
6,,2019-10-09T17:36:19.566+03:00,GET,https://d2j1fszo1axgmp.cloudfront.net/2.6.0/stream-analytics.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,565,22733,,,48,0,334,0,302,90,0,13.226.6.137,,473,
7,,2019-10-09T17:36:19.594+03:00,GET,https://www.googletagservices.com/tag/js/gpt.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,767,14501,,,17,-1,-1,-1,-1,125,0,172.217.22.34,,144,
8,,2019-10-09T17:36:19.640+03:00,GET,"https://api.the-dots.com/v1/explore/today/projects?include=image,owner-user,owner-user.tagline,owner-user.profile-image,owner-page,owner-page.tagline,owner-page.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image",HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,application/json,,,1089,10924,,,3,-1,-1,-1,-1,146,0,104.20.56.187,,151,value
9,,2019-10-09T17:36:19.795+03:00,GET,https://api.the-dots.com/v1/config,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,application/json,,,1063,717,,,0,-1,-1,-1,-1,152,0,104.20.56.187,,154,
