,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:03:42.268+03:00,GET,https://dingo.care2.com/c2/care2_vid.m4v,HTTP/1.1,569,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,302,951259,,,-1,0,98,-1,326,-1,-1,93.184.220.187,,425,,
1,,2019-10-09T18:03:42.471+03:00,GET,https://www.care2.com/,HTTP/1.1,803,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,392,20584,,,0,0,514,399,187,0,437,8.47.77.87,,1140,,
2,,2019-10-09T18:03:43.016+03:00,GET,https://dingo.care2.com/assets/css/main.css?1570466983,HTTP/1.1,573,0,,200,OK,HTTP/1.1,0,text/css,,,380,6964,,,-1,0,90,-1,3,-1,-1,93.184.220.187,,94,value,
3,,2019-10-09T18:03:43.016+03:00,GET,https://dingo.care2.com/assets/css/home_page.css?1570466983,HTTP/1.1,578,0,,200,OK,HTTP/1.1,0,text/css,,,381,7527,,,-1,0,96,-1,2,-1,-1,93.184.220.187,,100,value,
4,,2019-10-09T18:03:43.307+03:00,GET,https://a22866392.cdn.optimizely.com/client_storage/a22866392.html,HTTP/1.1,533,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,794,786,,,-1,0,155,-1,0,-1,-1,23.55.4.132,,156,,
5,,2019-10-09T18:03:43.310+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,-1,0,98,-1,56,-1,-1,93.184.220.66,,155,,
6,,2019-10-09T18:03:43.491+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,0,100,-1,31,-1,-1,172.217.22.110,,132,,
7,,2019-10-09T18:03:43.748+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.care2.com,HTTP/1.1,609,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,0,97,-1,2,-1,-1,93.184.220.66,,100,value,
8,,2019-10-09T18:03:43.776+03:00,GET,https://www.linkedin.com/pages-extensions/FollowCompany.js?version=0.1.149,HTTP/1.1,694,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,1578,480,,,-1,0,190,-1,0,-1,-1,13.107.42.14,,191,value,
9,,2019-10-09T18:03:43.804+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=1010477338&t=pageview&_s=1&dl=https%3A%2F%2Fwww.care2.com%2F&ul=en-us&de=UTF-8&dt=Care2%20is%20the%20world%27s%20largest%20social%20network%20for%20good%2C%20a%20community%20of%20over%2040%20million%20people%20standing%20together%2C%20starting%20petitions%20and%20sharing%20stories%20that%20inspire%20action.&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=ACCAgAAB~&jid=&gjid=&cid=708367747.1570633415&tid=UA-7779329-1&_gid=166957254.1570633415&z=1887952795,HTTP/1.1,854,0,,200,OK,HTTP/1.1,0,image/gif,,,480,35,,,-1,0,90,-1,0,-1,-1,172.217.22.110,,91,value,
10,,2019-10-09T18:03:43.859+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,595,79,,,-1,0,193,-1,0,-1,-1,104.244.42.72,,194,,
11,,2019-10-09T18:03:43.867+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,-1,0,88,-1,1,-1,-1,93.184.220.66,,90,,
12,,2019-10-09T18:03:43.940+03:00,POST,https://www.care2.com/servlets/user_login.php,HTTP/1.1,885,182,,200,OK,HTTP/1.1,0,application/json,,,635,211,,,0,0,249,389,0,0,421,8.47.77.87,,673,,
13,,2019-10-09T18:03:43.978+03:00,GET,https://platform.twitter.com/widgets/follow_button.e3a0e1b01ae601b6c9cf798a93ab7e69.en.html,HTTP/1.1,577,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,13673,,,-1,0,95,-1,11,-1,-1,93.184.220.66,,107,,
14,,2019-10-09T18:03:43.999+03:00,GET,https://www.linkedin.com/pages-extensions/FollowCompany?id=27726&counter=right&xdOrigin=https%3A%2F%2Fwww.care2.com&xdChannel=f8bc1f5d-4d49-49eb-a9e0-bbddb30d8421&xd_origin_host=https%3A%2F%2Fwww.care2.com,HTTP/1.1,978,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,0,-1,-1,13.107.42.14,,0,value,No response received
15,,2019-10-09T18:03:44.201+03:00,GET,https://connect.facebook.net/en_IL/sdk.js,HTTP/1.1,355,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1779,,,-1,0,102,-1,4,-1,-1,31.13.92.14,,106,,
16,,2019-10-09T18:03:44.268+03:00,GET,https://syndication.twitter.com/i/jot?l=%7B%22widget_origin%22%3A%22http%3A%2F%2Fwww.care2.com%2F%22%2C%22widget_frame%22%3Afalse%2C%22widget_site_screen_name%22%3A%22Care2%22%2C%22widget_creator_screen_name%22%3A%22Care2%22%2C%22language%22%3A%22en%22%2C%22message%22%3A%22l%3Awithcount%3A%22%2C%22_category_%22%3A%22tfw_client_event%22%2C%22triggered_on%22%3A1570633424246%2C%22dnt%22%3Afalse%2C%22client_version%22%3A%22708eecd%3A1570046592825%22%2C%22format_version%22%3A1%2C%22event_namespace%22%3A%7B%22client%22%3A%22tfw%22%2C%22page%22%3A%22button%22%2C%22section%22%3A%22follow%22%2C%22action%22%3A%22impression%22%7D%7D,HTTP/1.1,998,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,635,65,,,-1,0,202,-1,0,-1,-1,104.244.42.72,,204,value,
