,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T19:15:56.158+03:00,GET,https://beta.freerice.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html,,,663,3831,,,213,2,184,2566,2606,6,0,151.101.18.133,,3014,
1,,2019-10-11T19:15:56.375+03:00,GET,https://beta.freerice.com/static/css/main.99e40889.chunk.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,663,14491,,,-1,2,195,-1,-1,39,-1,151.101.18.133,,236,
2,,2019-10-11T19:15:56.593+03:00,GET,https://beta.freerice.com/assets/oil/oil.1.2.2-RELEASE.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,27315,,,0,1,94,159,201,58,0,151.101.18.133,,356,
3,,2019-10-11T19:15:56.593+03:00,GET,https://beta.freerice.com/static/js/2.870e4b6e.chunk.js,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,application/javascript,,,679,115779,,,0,1,109,164,206,193,0,151.101.18.133,,510,
4,,2019-10-11T19:15:56.599+03:00,GET,https://beta.freerice.com/static/js/main.f4b3d39b.chunk.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,677,59912,,,0,1,171,174,217,137,0,151.101.18.133,,527,
5,,2019-10-11T19:15:57.583+03:00,GET,https://polyfill.io/v3/polyfill.min.js?features=default%2CArray.prototype.find%2CArray.prototype.includes,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,696,74,,,48,0,107,1125,1155,2,0,151.101.130.109,,1314,value
6,,2019-10-11T19:15:57.936+03:00,GET,https://beta.freerice.com/static/media/logo.39e48f11.svg,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,5297,,,-1,0,185,-1,-1,7,-1,151.101.18.133,,193,
7,,2019-10-11T19:15:57.941+03:00,GET,https://beta.freerice.com/static/media/anonymous.6af2173d.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,664,400,,,-1,0,163,-1,-1,1,-1,151.101.18.133,,166,
8,,2019-10-11T19:15:57.989+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Regular.9bd6fd3f.woff2,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,font/woff2,,,615,13964,,,-1,0,199,-1,-1,1,-1,151.101.18.133,,201,
9,,2019-10-11T19:15:58.101+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Bold.0ac670c8.woff2,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,font/woff2,,,617,14636,,,-1,1,220,-1,-1,0,-1,151.101.18.133,,222,
10,,2019-10-11T19:15:59.428+03:00,GET,https://oil.axelspringer.com/release/1.2.2/1.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,2384,,,158,1,128,1452,1488,4,0,52.18.156.77,,1780,
11,,2019-10-11T19:15:59.432+03:00,GET,https://oil.axelspringer.com/release/1.2.2/0.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,11657,,,158,0,125,1456,1492,65,0,52.18.156.77,,1842,
