,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T19:16:33.146+03:00,GET,http://youarelistening.to/,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,216,3801,,,3,-1,945,2,22,51,0,69.163.153.84,,1025,,
1,,2019-10-11T19:16:34.225+03:00,GET,http://youarelistening.to/css/style.css,HTTP/1.1,347,0,,200,OK,HTTP/1.1,0,text/css,,,268,2286,,,4,-1,263,-1,0,-1,-1,69.163.153.84,,269,,
2,,2019-10-11T19:16:34.232+03:00,GET,http://youarelistening.to/images/button_back.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,249,906,,,1,-1,410,1,1,47,0,69.163.153.84,,463,,
3,,2019-10-11T19:16:34.233+03:00,GET,http://code.jquery.com/ui/1.10.4/jquery-ui.min.js,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,457,61269,,,2,-1,102,49,103,36,0,209.197.3.24,,294,,
4,,2019-10-11T19:16:34.235+03:00,GET,http://code.jquery.com/jquery-2.1.0.min.js,HTTP/1.1,332,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,457,29288,,,2,-1,118,48,52,36,0,209.197.3.24,,259,,
5,,2019-10-11T19:16:34.236+03:00,GET,http://connect.soundcloud.com/sdk.js,HTTP/1.1,333,0,,200,OK,HTTP/1.1,0,application/javascript,,,634,11618,,,0,-1,116,153,2,26,0,143.204.192.31,,299,,
6,,2019-10-11T19:16:34.237+03:00,GET,http://youarelistening.to/images/button_pause.png,HTTP/1.1,378,0,,200,OK,HTTP/1.1,0,image/png,,,249,680,,,2,-1,422,0,0,44,0,69.163.153.84,,470,,
7,,2019-10-11T19:16:34.238+03:00,GET,http://ajax.googleapis.com/ajax/libs/swfobject/2.2/swfobject.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,488,3974,,,1,-1,47,47,3,35,0,216.58.205.234,,134,,
8,,2019-10-11T19:16:34.240+03:00,GET,http://w.soundcloud.com/player/api.js,HTTP/1.1,328,0,,301,Moved Permanently,HTTP/1.1,0,,,https://w.soundcloud.com/player/api.js,386,0,,,2,-1,134,44,1,35,0,13.224.132.128,,218,,
9,,2019-10-11T19:16:34.243+03:00,GET,http://code.jquery.com/ui/1.10.4/themes/smoothness/jquery-ui.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,392,7336,,,2,-1,46,40,5,36,0,209.197.3.24,,130,,
10,,2019-10-11T19:16:34.323+03:00,GET,http://youarelistening.to/js/code.js?random=5da0aef78daa3,HTTP/1.1,350,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2956,,,1,-1,420,0,0,40,0,69.163.153.84,,463,value,
11,,2019-10-11T19:16:34.504+03:00,GET,http://fonts.googleapis.com/css?family=Fugaz+One,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/css;charset=utf-8,,,486,291,,,0,-1,114,0,1,23,0,216.58.207.42,,139,value,
12,,2019-10-11T19:16:34.705+03:00,GET,http://youarelistening.to/images/button_forward.png,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,image/png,,,215,910,,,0,-1,249,-1,0,-1,-1,69.163.153.84,,249,,
13,,2019-10-11T19:16:34.713+03:00,GET,http://youarelistening.to/images/button_info.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,216,3084,,,0,-1,249,-1,0,-1,-1,69.163.153.84,,250,,
14,,2019-10-11T19:16:34.726+03:00,GET,http://youarelistening.to/images/bg_losangeles.jpg,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,image/jpeg,,,225,89815,,,0,-1,488,-1,9083,-1,-1,69.163.153.84,,9572,,
