,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T14:12:49.053+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,130,197,1444,3,132,1483,0,209.95.52.192,,1947,
1,,2019-10-11T14:12:49.397+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,-1,182,-1,1,308,-1,-1,209.95.52.192,,491,
2,,2019-10-11T14:12:49.634+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,0,164,278,3,3,306,0,209.95.52.192,,479,
3,,2019-10-11T14:12:49.658+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,0,184,303,2,284,332,0,209.95.52.192,,804,
4,,2019-10-11T14:12:49.658+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,0,179,295,2,0,327,0,209.95.52.192,,510,
5,,2019-10-11T14:12:49.665+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,0,183,303,1,420,336,0,209.95.52.192,,941,
6,,2019-10-11T14:12:49.708+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,0,168,273,0,419,309,0,209.95.52.192,,898,
7,,2019-10-11T14:12:50.138+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,-1,164,-1,0,0,-1,-1,209.95.52.192,,165,
8,,2019-10-11T14:12:50.301+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,-1,179,-1,0,142,-1,-1,209.95.52.192,,322,
9,,2019-10-11T14:12:50.633+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,-1,170,-1,0,0,-1,-1,209.95.52.192,,171,
10,,2019-10-11T14:12:50.808+03:00,GET,https://lizardpoint.com/shared/images/stamps500.gif,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/gif,,,190,80528,,,-1,242,-1,0,169,-1,-1,209.95.52.192,,412,
11,,2019-10-11T14:12:51.233+03:00,GET,https://lizardpoint.com/images/olderstudents1200.jpg,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,image/jpeg,,,192,381692,,,-1,165,-1,0,816,-1,-1,209.95.52.192,,982,
12,,2019-10-11T14:12:51.336+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css,,,662,6663,,,20,149,1961,0,236,1989,0,104.19.197.151,,2397,
13,,2019-10-11T14:12:52.018+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,font/woff2,,,191,18028,,,0,173,262,0,197,281,0,209.95.52.192,,652,
14,,2019-10-11T14:12:52.028+03:00,GET,https://lizardpoint.com/images/trivia-globe-qmark.gif,HTTP/1.1,458,0,,200,OK,HTTP/1.1,0,image/gif,,,189,9449,,,0,174,265,0,2,293,0,209.95.52.192,,471,
15,,2019-10-11T14:12:52.032+03:00,GET,https://lizardpoint.com/images/globe-search2.gif,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/gif,,,190,11055,,,0,208,268,0,2,295,0,209.95.52.192,,507,
16,,2019-10-11T14:12:52.153+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,672,77160,,,0,92,181,1,462,213,0,104.19.197.151,,769,value
17,,2019-10-11T14:12:52.211+03:00,GET,https://lizardpoint.com/images/artist-quizzes-van-gogh.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,190,54980,,,-1,175,-1,0,292,-1,-1,209.95.52.192,,467,
18,,2019-10-11T14:12:53.350+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,33951,,,27,99,3006,0,68,3042,0,172.217.22.106,,3240,
19,,2019-10-11T14:12:55.139+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,32,123,3346,0,25,3367,0,216.58.206.14,,3550,
20,,2019-10-11T14:12:55.317+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=1906572905&t=pageview&_s=1&dl=https%3A%2F%2Flizardpoint.com%2F&ul=en-us&de=UTF-8&dt=Lizard%20Point%20Quizzes%20-%20Interactive%20Map%20Quizzes&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=1573411405&gjid=1749090952&cid=1163527699.1570792375&tid=UA-11262935-5&_gid=1019802.1570792375&_r=1&z=1291004486,HTTP/1.1,723,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=1163527699.1570792375&jid=1573411405&_gid=1019802.1570792375&gjid=1749090952&_v=j79&z=1291004486,644,417,,,-1,99,-1,0,1,-1,-1,216.58.206.14,,101,value
21,,2019-10-11T14:12:57.420+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=1163527699.1570792375&jid=1573411405&_gid=1019802.1570792375&gjid=1749090952&_v=j79&z=1291004486,HTTP/1.1,532,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=1163527699.1570792375&jid=1573411405&_v=j79&z=1291004486,675,367,,,1,115,1953,0,1,1988,0,74.125.140.157,,2107,value
