,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T14:41:55.484+03:00,GET,https://www.codecademy.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1228,20832,,,76,2183,0,2,127,256,2145,104.20.26.250,,2646,
1,,2019-10-11T14:41:55.835+03:00,GET,https://www.codecademy.com/webpack/105.b0ca2c49a6d3e4f35cbc.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,534,1972,,,7,-1,-1,0,-1,92,-1,104.20.26.250,,101,
2,,2019-10-11T14:41:55.945+03:00,GET,https://www.codecademy.com/webpack/7.76c67b49e29df656210e.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,208,,,0,-1,-1,1,-1,96,-1,104.20.26.250,,99,
3,,2019-10-11T14:41:55.982+03:00,GET,https://www.codecademy.com/webpack/30.5aef409b13034b8393c0.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,252,,,2,171,0,7,0,102,135,104.20.26.250,,283,
4,,2019-10-11T14:41:55.988+03:00,GET,https://www.codecademy.com/webpack/33.68bde9f8d8e049a57945.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,131,,,2,178,0,2,0,102,142,104.20.26.250,,286,
5,,2019-10-11T14:41:55.995+03:00,GET,https://www.codecademy.com/webpack/35.a5c741a5e238200f94d3.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,534,1478,,,3,174,0,1,0,99,139,104.20.26.250,,278,
6,,2019-10-11T14:41:55.996+03:00,GET,https://www.codecademy.com/webpack/74.4d78988499577313336d.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,534,5181,,,10,181,0,3,0,110,141,104.20.26.250,,305,
7,,2019-10-11T14:41:56.004+03:00,GET,https://www.codecademy.com/webpack/76.56a72f875e30b76d4158.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,268,,,1,187,0,0,0,107,150,104.20.26.250,,298,
8,,2019-10-11T14:41:56.048+03:00,GET,https://www.codecademy.com/webpack/92.4a2e66824076c2a0f6ba.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,339,,,0,-1,-1,0,-1,98,-1,104.20.26.250,,99,
9,,2019-10-11T14:41:56.130+03:00,GET,https://www.codecademy.com/webpack/111.6cc12a1df6b7ccb47bab.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,533,461,,,1,-1,-1,1,-1,120,-1,104.20.26.250,,122,
10,,2019-10-11T14:41:56.131+03:00,GET,https://www.codecademy.com/webpack/0.834129a31aa84bdadb07.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,325,,,1,-1,-1,1,-1,124,-1,104.20.26.250,,128,
11,,2019-10-11T14:41:56.132+03:00,GET,https://www.codecademy.com/webpack/1.c2e56ddc298af3dce9de.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,147,,,1,-1,-1,1,-1,117,-1,104.20.26.250,,119,
12,,2019-10-11T14:41:56.134+03:00,GET,https://www.codecademy.com/webpack/2.a758190cc4232e11e584.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,482,,,1,-1,-1,2,-1,122,-1,104.20.26.250,,125,
13,,2019-10-11T14:41:56.134+03:00,GET,https://www.codecademy.com/webpack/23.e061bc32eef55c23c968.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,534,1502,,,1,-1,-1,2,-1,124,-1,104.20.26.250,,127,
14,,2019-10-11T14:41:56.152+03:00,GET,https://www.codecademy.com/webpack/65.45214f5047bee175b0de.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,518,249,,,1,-1,-1,0,-1,115,-1,104.20.26.250,,118,
15,,2019-10-11T14:41:56.266+03:00,GET,https://www.codecademy.com/webpack/91.d803e06b6ca2b421f9ad.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,653,,,2,-1,-1,1,-1,117,-1,104.20.26.250,,121,
16,,2019-10-11T14:41:56.266+03:00,GET,https://www.codecademy.com/webpack/78.35a241d1db754e08fa68.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,518,684,,,1,-1,-1,1,-1,100,-1,104.20.26.250,,103,
17,,2019-10-11T14:41:56.288+03:00,GET,https://www.codecademy.com/webpack/110.e96df2b662230d8d1849.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,534,1250,,,0,-1,-1,1,-1,124,-1,104.20.26.250,,127,
18,,2019-10-11T14:41:56.289+03:00,GET,https://www.codecademy.com/webpack/157.ea4a780c80a2b836eaf7.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,518,477,,,1,-1,-1,2,-1,111,-1,104.20.26.250,,115,
19,,2019-10-11T14:41:56.290+03:00,GET,https://www.codecademy.com/webpack/189.517988f27f5ab80c5e96.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,534,1124,,,3,-1,-1,1,-1,111,-1,104.20.26.250,,116,
20,,2019-10-11T14:41:56.290+03:00,GET,https://www.codecademy.com/webpack/corporate-scenes-Landing.8e123beca1a22926b8a3.chunk.css,HTTP/1.1,597,0,,200,OK,HTTP/1.1,0,text/css,,,534,3052,,,2,-1,-1,2,-1,117,-1,104.20.26.250,,121,
21,,2019-10-11T14:41:56.381+03:00,GET,https://www.codecademy.com/webpack/runtime~corporate.e00499f216970c234f97.js,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,3317,,,2,-1,-1,1,-1,99,-1,104.20.26.250,,103,
22,,2019-10-11T14:41:56.400+03:00,GET,https://www.codecademy.com/webpack/86.f5366290cdb581114495.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,133889,,,164,-1,-1,2,-1,114,-1,104.20.26.250,,281,
23,,2019-10-11T14:41:56.435+03:00,GET,https://www.codecademy.com/webpack/105.8b6fe0890419a59cf603.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,30897,,,116,-1,-1,1,-1,123,-1,104.20.26.250,,241,
24,,2019-10-11T14:41:56.435+03:00,GET,https://www.codecademy.com/webpack/90.a10a511af448d838153f.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,5278,,,2,-1,-1,1,-1,108,-1,104.20.26.250,,112,
25,,2019-10-11T14:41:56.440+03:00,GET,https://www.codecademy.com/webpack/108.cb7960b084c79027a9aa.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,6403,,,2,-1,-1,0,-1,96,-1,104.20.26.250,,100,
26,,2019-10-11T14:41:56.442+03:00,GET,https://www.codecademy.com/webpack/corporate.94a4c7bb3088d8ecf916.chunk.js,HTTP/1.1,566,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1499,,,0,-1,-1,1,-1,106,-1,104.20.26.250,,108,
27,,2019-10-11T14:41:56.490+03:00,GET,https://www.codecademy.com/webpack/4.32bcd637ebb94514c9df.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1751,,,0,-1,-1,0,-1,98,-1,104.20.26.250,,99,
28,,2019-10-11T14:41:56.544+03:00,GET,https://www.codecademy.com/webpack/7.965b8ef6423f54872b33.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,586,,,0,-1,-1,0,-1,105,-1,104.20.26.250,,106,
29,,2019-10-11T14:41:56.556+03:00,GET,https://www.codecademy.com/webpack/13.6b221d59632b56ec56fb.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,547,,,0,-1,-1,0,-1,93,-1,104.20.26.250,,94,
30,,2019-10-11T14:41:56.557+03:00,GET,https://www.codecademy.com/webpack/14.12180932dbcb7ad17774.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,15747,,,4,-1,-1,0,-1,112,-1,104.20.26.250,,118,
31,,2019-10-11T14:41:56.594+03:00,GET,https://www.codecademy.com/webpack/15.e8482dffc4ee74eed7c9.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,224,,,0,-1,-1,0,-1,92,-1,104.20.26.250,,93,
32,,2019-10-11T14:41:56.656+03:00,GET,https://www.codecademy.com/webpack/renderer/973e3dd1f43e9417e592e2200b978a8c.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,668,124632,,,158,-1,-1,0,-1,106,-1,104.20.26.250,,265,
33,,2019-10-11T14:41:56.656+03:00,GET,https://www.codecademy.com/webpack/renderer/be1606e736b7ae787add1973c386eff6.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,660,492,,,0,-1,-1,0,-1,110,-1,104.20.26.250,,111,
34,,2019-10-11T14:41:56.678+03:00,GET,https://www.codecademy.com/webpack/renderer/009575cb805ae46490ba9b72cf63b22f.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,433,,,0,-1,-1,0,-1,104,-1,104.20.26.250,,106,
35,,2019-10-11T14:41:56.682+03:00,GET,https://www.codecademy.com/webpack/renderer/6dbde596705090b98e4012a740c0bedb.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,206,,,0,-1,-1,0,-1,101,-1,104.20.26.250,,102,
36,,2019-10-11T14:41:56.692+03:00,GET,https://www.codecademy.com/webpack/renderer/5c537833d79f7065497b565eaa7bca64.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,134,,,0,-1,-1,0,-1,96,-1,104.20.26.250,,97,
37,,2019-10-11T14:41:56.714+03:00,GET,https://www.codecademy.com/webpack/10c6b3611734c6f586a233d41c1cdf46.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,38752,,,12,-1,-1,0,-1,97,-1,104.20.26.250,,111,
38,,2019-10-11T14:41:56.776+03:00,GET,https://www.codecademy.com/webpack/8f8fbcc4095c37401c638882bc63b21b.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,38280,,,69,-1,-1,0,-1,91,-1,104.20.26.250,,161,
39,,2019-10-11T14:41:56.792+03:00,GET,https://www.codecademy.com/webpack/renderer/3ce816c669e3c8a946f0895049a01e44.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,134,,,0,-1,-1,0,-1,97,-1,104.20.26.250,,98,
