,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.ssl,timings.send,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T15:15:29.716+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,14,0,2514,2472,2,235,1,104.154.63.26,,2768,
1,,2019-10-11T15:15:30.011+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,1,-1,-1,-1,2,231,-1,104.154.63.26,,235,
2,,2019-10-11T15:15:30.263+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,0,-1,-1,-1,1,204,-1,104.154.63.26,,206,
3,,2019-10-11T15:15:30.401+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,0,0,382,343,1,199,0,104.154.63.26,,582,
4,,2019-10-11T15:15:33.341+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,33576,,,65,0,3283,3253,0,101,39,216.58.207.74,,3491,
5,,2019-10-11T15:15:37.035+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,12,0,6975,6947,0,120,43,172.217.23.138,,7152,value
6,,2019-10-11T15:15:37.044+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,13,0,6985,6957,0,112,38,172.217.23.138,,7150,value
7,,2019-10-11T15:15:37.052+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,11,0,6995,6965,0,105,41,172.217.23.138,,7155,value
8,,2019-10-11T15:15:37.216+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,1,-1,-1,-1,0,110,-1,172.217.23.138,,112,value
9,,2019-10-11T15:15:38.052+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20724,,,51,0,778,744,0,102,0,172.217.21.227,,934,
10,,2019-10-11T15:15:38.054+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20808,,,49,0,779,745,0,107,0,172.217.21.227,,937,
11,,2019-10-11T15:15:38.056+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20872,,,53,0,780,755,0,100,0,172.217.21.227,,936,
12,,2019-10-11T15:15:38.940+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,51,0,1723,1678,0,117,0,216.58.207.72,,1894,value
