,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:31:49.785+03:00,GET,http://ww7.good-v-evil.com/,HTTP/1.1,429,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,402,4028,,,6,0,46,240,11,-1,297,199.59.242.152,,602,
1,,2019-10-11T17:31:50.438+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=1&rn=0.30771431138700955,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,7,-1,-1,161,2,-1,-1,199.59.242.152,,171,value
2,,2019-10-11T17:31:50.439+03:00,GET,http://www.google.com/adsense/domains/caf.js,HTTP/1.1,334,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,375,56277,,,120,0,36,154,1,-1,0,172.217.18.4,,313,
3,,2019-10-11T17:31:50.444+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=2&rn=0.30771431138700955,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,0,0,36,249,1,-1,1,199.59.242.152,,289,value
4,,2019-10-11T17:31:50.763+03:00,GET,http://ww7.good-v-evil.com/glp?r=&u=http%3A%2F%2Fww7.good-v-evil.com%2F&rw=800&rh=600&ww=800&wh=600,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,326,9849,,,5,-1,-1,185,0,-1,-1,199.59.242.152,,192,value
5,,2019-10-11T17:31:50.995+03:00,GET,http://ww7.good-v-evil.com/public/legacy/10348/resources/arrows-bg.jpg,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,image/jpeg,,,247,135228,,,2113,-1,-1,461,0,-1,-1,199.59.242.152,,2575,
6,,2019-10-11T17:31:50.995+03:00,GET,http://ww7.good-v-evil.com/public/legacy/10348/resources/arrows-bg-ext.png,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,image/png,,,238,1143,,,1,-1,-1,203,0,-1,-1,199.59.242.152,,204,
7,,2019-10-11T17:31:51.003+03:00,GET,http://parking.parklogic.com/page/enhance.js?pcId=7&domain=good-v-evil.com,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,text/javascript,,,215,2224,,,0,0,28,427,6,-1,34,67.225.218.50,,497,value
8,,2019-10-11T17:31:51.050+03:00,GET,http://www.gstatic.com/domainads/tracking/caf.gif?ts=1570804310995&rid=1145212,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,image/gif,,,339,43,,,0,0,34,250,0,-1,0,172.217.22.35,,287,value
9,,2019-10-11T17:31:52.363+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,0,0,1333,113,2,1303,0,172.217.23.138,,1451,value
10,,2019-10-11T17:31:52.364+03:00,GET,https://fonts.googleapis.com/css?family=Quicksand,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,344,,,1,0,1334,112,1,1304,1,172.217.23.138,,1451,value
11,,2019-10-11T17:31:52.615+03:00,GET,https://www.google.com/dp/ads?max_radlink_len=60&r=m&client=dp-bodis31_3ph&channel=pid-bodis-gcontrol114&hl=en&adsafe=low&type=3&optimize_terms=on&swp=as-drid-2708093962197658&uiopt=false&oe=UTF-8&ie=UTF-8&fexp=21404%2C17300002%2C17300094&format=r7&num=0&output=afd_ads&domain_name=ww7.good-v-evil.com&v=3&adext=as1%2Csr1&bsl=8&u_his=2&u_tz=180&dt=1570804311009&u_w=800&u_h=600&biw=779&bih=600&psw=779&psh=944&frm=0&uio=ff6fa6st24sa11lt30sl1sr1-&cont=Sb&jsv=60632&rurl=http%3A%2F%2Fww7.good-v-evil.com%2F,HTTP/1.1,976,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,872,6672,,,16,0,1567,188,0,1535,0,172.217.18.4,,1772,value
12,,2019-10-11T17:31:52.858+03:00,GET,https://www.google.com/adsense/domains/caf.js,HTTP/1.1,572,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,502,56267,,,99,-1,-1,125,0,-1,-1,172.217.18.4,,226,
13,,2019-10-11T17:31:53.106+03:00,GET,https://fonts.googleapis.com/css?family=open%20sans%7Copen%20sans,HTTP/1.1,395,0,,400,Bad Request,HTTP/1.1,0,text/html; charset=utf-8,,,467,644,,,0,-1,-1,105,0,-1,-1,172.217.23.138,,106,value
14,,2019-10-11T17:31:53.277+03:00,GET,http://tracking.bodis.com/tlpv?d=eyJkb21haW5fbmFtZSI6Imdvb2Qtdi1ldmlsLmNvbSIsInNlcnZlciI6ODEsInRlcm1zIjpbXSwiVVJMIjoiaHR0cDpcL1wvd3c3Lmdvb2Qtdi1ldmlsLmNvbVwvIiwicmVmZXJyZXIiOiIiLCJkdyI6ODAwLCJkaCI6NjAwLCJydyI6ODAwLCJyaCI6NjAwfQ&t=1570805356&abp=0,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/plain;charset=UTF-8,,,353,0,,,0,0,35,300,0,-1,32,199.59.242.155,,368,value
15,,2019-10-11T17:31:53.291+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,602,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5323,,,1,-1,-1,93,0,-1,-1,172.217.18.4,,96,
16,,2019-10-11T17:31:55.326+03:00,GET,https://fonts.gstatic.com/s/quicksand/v15/6xK-dSZaM9iE8KbpRA_LJ3z8mH9BOJvgkP8o58a-wg.woff2,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,13732,,,46,0,2814,107,0,2780,0,172.217.16.131,,2969,
