,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:47:13.621+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,1097,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,49019,,,-1,0,0,2518,242,27,0,104.24.18.117,,2788,
1,,2019-10-11T17:47:16.224+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsstCk98AVX7sbbRogo6rwU4PLVDyabGj05tI0J_jnmVWWQ3AFH7SPMeICwGNphNu6qwdnUuUO1PVnj_cpqmix-HuQXUkIeNF1BC_obNiN3mg9yZjK8&sai=AMfl-YTIHn-dKPHxAhAu3SLmZ5RCjhTkOtmWD9dDZ1q8IL4iI8EjfoEdNDWAxdRz_3JuoowVvNGdpi018xKg&sig=Cg0ArKJSzINFz62o3RJiEAE&adk=1185311379&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=31&niot_cbk=75&md=2&lm=2&rst=1570805214876&dlt=431&rpt=1221&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C46462&ss=800%2C600&pt=-1&bin=1&deb=1-3-3-267-178-38-545-176-0-0-0&tvt=20633&r=u&id=osdim&vs=3&uc=172&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=14&v=20191009",HTTP/1.1,1941,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,-1,1,122,0,-1,-1,172.217.23.98,,123,value
2,,2019-10-11T17:47:16.292+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,1051,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,-1,0,0,2348,7,53,0,104.24.18.117,,2410,
3,,2019-10-11T17:47:16.332+03:00,GET,http://www.shutupandtakemymoney.com/wp-includes/js/wp-emoji-release.min.js?ver=f93c06892291928e5e70789d6414b9c7,HTTP/1.1,1074,0,,200,OK,HTTP/1.1,0,application/javascript,,,430,4382,,,-1,0,0,131,1,52,0,104.24.18.117,,186,value
4,,2019-10-11T17:47:16.351+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsstCk98AVX7sbbRogo6rwU4PLVDyabGj05tI0J_jnmVWWQ3AFH7SPMeICwGNphNu6qwdnUuUO1PVnj_cpqmix-HuQXUkIeNF1BC_obNiN3mg9yZjK8&sai=AMfl-YTIHn-dKPHxAhAu3SLmZ5RCjhTkOtmWD9dDZ1q8IL4iI8EjfoEdNDWAxdRz_3JuoowVvNGdpi018xKg&sig=Cg0ArKJSzINFz62o3RJiEAE&adk=1185311379&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=31&niot_cbk=75&md=2&lm=2&rst=1570805214876&dlt=431&rpt=1221&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C46462&ss=800%2C600&pt=-1&bin=1&deb=1-3-3-267-178-38-545-176-0-0-0&tvt=20633&r=u&id=osdtos&vs=3&uc=172&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=14&v=20191009",HTTP/1.1,1942,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,-1,0,110,0,-1,-1,172.217.23.98,,111,value
5,,2019-10-11T17:47:16.369+03:00,GET,https://load.sumo.com/76.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,44057,,,-1,-1,0,93,88,-1,-1,89.187.169.79,,182,
6,,2019-10-11T17:47:16.375+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssdq5SwXn7AfQlNxa-0-HeGdL0k2ff8Fgn0ee7l4BBQlpAhLiT4lmAscD-Kof_6NeVMDcmXfAATgVe6XdJbi1qDywyaiVd1Mz4uPVMrjeJDB0ZuhJU&sai=AMfl-YTeAhwAF1GZ6Gp0DsEsNL42RiHZAwLVcZOEPd7USiD6qYo8cD0C8kthpMn0fT1yqiFsNduZfDd-TBS0&sig=Cg0ArKJSzBbOVxNYoAV5EAE&adk=2664836855&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=31&niot_cbk=74&md=2&lm=2&rst=1570805214933&dlt=652&rpt=523&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C46462&ss=800%2C600&pt=-1&bin=1&deb=1-3-3-267-178-38-545-176-0-0-0&tvt=20633&r=u&id=osdim&vs=3&uc=127&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=250x250&itpl=22&v=20191009",HTTP/1.1,1960,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,109,0,1,110,0,149,0,172.217.23.98,,260,value
7,,2019-10-11T17:47:16.382+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssdq5SwXn7AfQlNxa-0-HeGdL0k2ff8Fgn0ee7l4BBQlpAhLiT4lmAscD-Kof_6NeVMDcmXfAATgVe6XdJbi1qDywyaiVd1Mz4uPVMrjeJDB0ZuhJU&sai=AMfl-YTeAhwAF1GZ6Gp0DsEsNL42RiHZAwLVcZOEPd7USiD6qYo8cD0C8kthpMn0fT1yqiFsNduZfDd-TBS0&sig=Cg0ArKJSzBbOVxNYoAV5EAE&adk=2664836855&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=31&niot_cbk=74&md=2&lm=2&rst=1570805214933&dlt=652&rpt=523&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C46462&ss=800%2C600&pt=-1&bin=1&deb=1-3-3-267-178-38-545-176-0-0-0&tvt=20633&r=u&id=osdtos&vs=3&uc=127&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=250x250&itpl=22&v=20191009",HTTP/1.1,1961,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,115,0,0,104,0,148,0,172.217.23.98,,254,value
8,,2019-10-11T17:47:16.424+03:00,GET,https://load.sumo.com/78.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,101903,,,-1,-1,0,141,115,-1,-1,89.187.169.79,,257,
9,,2019-10-11T17:47:16.425+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,application/javascript,,,551,18855,,,-1,-1,0,97,15,-1,-1,13.225.249.93,,113,
