,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:54:56.026+03:00,GET,https://www.flixster.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,921,22725,,,2451,33,0,127,2564,3,2408,23.55.0.237,,5180,
1,,2019-10-11T17:54:58.640+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,985,6862,,,-1,1,-1,-1,124,1,-1,23.55.0.237,,127,
2,,2019-10-11T17:54:58.773+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1133,24399,,,-1,4,-1,-1,281,0,-1,23.55.0.237,,286,
3,,2019-10-11T17:54:58.803+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1130,4918,,,154,0,0,0,97,1,131,23.55.0.237,,254,
4,,2019-10-11T17:54:58.803+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,567,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,960,206694,,,154,297,0,0,145,1,132,23.55.0.237,,598,
5,,2019-10-11T17:54:58.803+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,985,738,,,154,0,0,0,102,1,130,23.55.0.237,,260,
6,,2019-10-11T17:54:58.805+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,960,214320,,,155,326,0,0,171,1,131,23.55.0.237,,655,
7,,2019-10-11T17:54:58.805+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,555,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1135,348718,,,154,436,0,0,155,1,131,23.55.0.237,,748,
8,,2019-10-11T17:54:58.907+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,581,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,920,22144,,,-1,3,-1,-1,167,0,-1,23.55.0.237,,171,
9,,2019-10-11T17:54:58.914+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,582,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,920,21576,,,-1,2,-1,-1,179,0,-1,23.55.0.237,,183,
10,,2019-10-11T17:55:00.119+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/TheatersPage.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,986,11942,,,-1,0,-1,-1,173,0,-1,23.55.0.237,,175,
