,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T15:45:45.711+03:00,GET,http://www.staggeringbeauty.com/,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,text/html,,,302,1193,,,7,51,0,3,700,-1,219,75.119.198.160,,982,,
1,,2019-10-12T15:45:46.748+03:00,GET,http://www.staggeringbeauty.com/lib/paper.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,289,57150,,,419,-1,-1,3,269,-1,-1,75.119.198.160,,692,,
2,,2019-10-12T15:45:46.752+03:00,GET,http://www.staggeringbeauty.com/lib/Tween.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2096,,,2,39,0,2,434,-1,2,75.119.198.160,,481,,
3,,2019-10-12T15:45:46.754+03:00,GET,http://www.staggeringbeauty.com/src/style.css,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/css,,,300,885,,,2,38,0,1,424,-1,1,75.119.198.160,,469,,
4,,2019-10-12T15:45:46.755+03:00,GET,http://www.staggeringbeauty.com/lib/traer.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,3363,,,4,39,0,1,427,-1,1,75.119.198.160,,474,,
5,,2019-10-12T15:45:46.755+03:00,GET,http://www.staggeringbeauty.com/lib/soundmanager2-nodebug-jsmin.js,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript,,,317,11718,,,7,38,0,1,445,-1,0,75.119.198.160,,494,,
6,,2019-10-12T15:45:46.756+03:00,GET,http://www.staggeringbeauty.com/src/jiggler.js,HTTP/1.1,351,0,,200,OK,HTTP/1.1,0,application/javascript,,,314,353,,,2,38,0,2,423,-1,0,75.119.198.160,,467,,
7,,2019-10-12T15:45:50.234+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,337,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,29,2535,0,1,89,2496,32,172.217.22.110,,2688,,
8,,2019-10-12T15:45:50.405+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=521368411&utmhn=www.staggeringbeauty.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Staggering%20Beauty&utmhid=1673478676&utmr=-&utmp=%2F&utmht=1570884350401&utmac=UA-353220-16&utmcc=__utma%3D133079244.1699011737.1570884350.1570884350.1570884350.1%3B%2B__utmz%3D133079244.1570884350.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1360992425&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,853,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,1,-1,-1,0,94,-1,-1,172.217.22.110,,96,value,
9,,2019-10-12T15:45:50.533+03:00,GET,http://www.staggeringbeauty.com/src/main.js,HTTP/1.1,561,0,,0,,unknown,0,,,,-1,-1,,,0,31,-1,1,0,-1,-1,75.119.198.160,,33,,No response received
