,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:33:23.493+03:00,GET,https://www.onread.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,906,10163,,,3171,0,70,103,1233,2,3132,104.24.118.116,,4582,
1,,2019-10-08T18:33:24.920+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,674,0,,200,OK,HTTP/1.1,0,text/css,,,519,19958,,,-1,-1,55,-1,99,1,-1,104.24.118.116,,156,value
2,,2019-10-08T18:33:24.964+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,659,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,166,0,0,0,99,1,132,104.24.118.116,,268,value
3,,2019-10-08T18:33:24.964+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,514,253,,,167,0,1,0,93,1,132,104.24.118.116,,263,value
4,,2019-10-08T18:33:24.964+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,675,0,,200,OK,HTTP/1.1,0,text/css,,,515,6203,,,170,0,3,0,116,1,132,104.24.118.116,,291,value
5,,2019-10-08T18:33:24.966+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,169,0,4,0,93,0,133,104.24.118.116,,267,value
6,,2019-10-08T18:33:24.968+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,677,0,,200,OK,HTTP/1.1,0,text/css,,,517,26000,,,173,0,32,0,98,1,140,104.24.118.116,,305,value
7,,2019-10-08T18:33:25.076+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,517,1646,,,-1,-1,1,-1,102,0,-1,104.24.118.116,,104,value
8,,2019-10-08T18:33:25.077+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,-1,-1,1,-1,96,0,-1,104.24.118.116,,98,value
9,,2019-10-08T18:33:25.078+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,653,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,-1,-1,33,-1,100,0,-1,104.24.118.116,,134,value
10,,2019-10-08T18:33:25.081+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,658,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,-1,-1,4,-1,92,0,-1,104.24.118.116,,98,value
11,,2019-10-08T18:33:25.091+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.css?v=1465990458,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/css,,,514,545,,,-1,-1,0,-1,91,0,-1,104.24.118.116,,93,value
12,,2019-10-08T18:33:25.105+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,807,,,-1,-1,0,-1,101,0,-1,104.24.118.116,,102,value
13,,2019-10-08T18:33:25.179+03:00,GET,https://www.onread.com/js/mCustomScrollbar/jquery.mCustomScrollbar.css?v=1465990458,HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,text/css,,,516,5421,,,-1,-1,2,-1,99,0,-1,104.24.118.116,,102,value
14,,2019-10-08T18:33:25.188+03:00,GET,https://www.onread.com/js/noos-select/jquery.noos.select.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,728,,,-1,-1,1,-1,90,0,-1,104.24.118.116,,92,value
15,,2019-10-08T18:33:25.191+03:00,GET,https://www.onread.com/js/poshytip/tip-basic/tip-basic.css?v=1465990458,HTTP/1.1,676,0,,200,OK,HTTP/1.1,0,text/css,,,516,562,,,-1,-1,0,-1,93,0,-1,104.24.118.116,,95,value
16,,2019-10-08T18:33:25.212+03:00,GET,https://www.onread.com/js/fancybox-2.1.5/jquery.fancybox.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,1257,,,-1,-1,0,-1,97,0,-1,104.24.118.116,,98,value
17,,2019-10-08T18:33:25.219+03:00,GET,https://www.onread.com/css/popup.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1402,,,-1,-1,1,-1,90,0,-1,104.24.118.116,,92,value
18,,2019-10-08T18:33:25.286+03:00,GET,https://www.onread.com/assets/37e991fb/authchoice.css?v=1485418581,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,516,272,,,-1,-1,0,-1,89,0,-1,104.24.118.116,,90,value
19,,2019-10-08T18:33:25.866+03:00,GET,https://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,text/css,,,453,8056,,,1032,0,4,34,107,0,987,209.197.3.24,,1180,
20,,2019-10-08T18:33:26.525+03:00,GET,https://www.onread.com/js/epub/build/epub.min.js?v=1465990458,HTTP/1.1,651,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,547,26011,,,-1,-1,39,-1,122,0,-1,104.24.118.116,,162,value
21,,2019-10-08T18:33:26.525+03:00,GET,https://www.onread.com/assets/c9f2659e/yii.js?v=1483524792,HTTP/1.1,648,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,4646,,,-1,-1,2,-1,121,0,-1,104.24.118.116,,124,value
22,,2019-10-08T18:33:26.526+03:00,GET,https://code.jquery.com/ui/1.11.4/jquery-ui.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,485,114093,,,-1,-1,184,-1,113,0,-1,209.197.3.24,,298,
23,,2019-10-08T18:33:26.526+03:00,GET,https://www.onread.com/js/jquery.mousewheel.js?v=1465990458,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,544,846,,,-1,-1,2,-1,130,0,-1,104.24.118.116,,133,value
24,,2019-10-08T18:33:26.526+03:00,GET,https://www.onread.com/js/jquery.dotdotdot.min.js?v=1465990458,HTTP/1.1,652,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,544,2543,,,-1,-1,0,-1,126,0,-1,104.24.118.116,,127,value
25,,2019-10-08T18:33:26.558+03:00,GET,https://www.onread.com/assets/e031c2e3/jquery.js?v=1463765083,HTTP/1.1,651,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,547,73205,,,-1,-1,111,-1,108,0,-1,104.24.118.116,,220,value
