,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
0,,2019-10-08T19:47:58.981+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,value,1123,1129,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,448,48,,,107,0,-1,-1,-1,-1,1,172.217.18.14,,109,
1,,2019-10-08T19:47:58.984+03:00,GET,https://www.youtube.com/,HTTP/1.1,,547,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,41973,,,153,0,-1,-1,-1,-1,817,172.217.18.14,,972,
2,,2019-10-08T19:47:59.193+03:00,GET,https://i.ytimg.com/generate_204,HTTP/1.1,,348,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,84,0,-1,-1,-1,-1,0,216.58.205.246,,85,
3,,2019-10-08T19:47:59.197+03:00,GET,https://www.youtube.com/yts/jsbin/web-animations-next-lite.min-vflluX5aW/web-animations-next-lite.min.js,HTTP/1.1,,503,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,15742,,,118,0,-1,-1,-1,-1,3,172.217.18.14,,122,
4,,2019-10-08T19:47:59.198+03:00,GET,https://www.youtube.com/yts/jsbin/custom-elements-es5-adapter-vflsrwHZH/custom-elements-es5-adapter.js,HTTP/1.1,,501,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,814,,,99,0,-1,-1,-1,-1,0,172.217.18.14,,100,
5,,2019-10-08T19:47:59.199+03:00,GET,https://www.youtube.com/yts/jsbin/webcomponents-sd-vflsdda5l/webcomponents-sd.js,HTTP/1.1,,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,21439,,,97,0,-1,-1,-1,-1,47,172.217.18.14,,145,
6,,2019-10-08T19:47:59.201+03:00,GET,https://www.youtube.com/yts/htmlbin/desktop_polymer_v2-vflGIbXVl.html,HTTP/1.1,,498,0,,200,OK,HTTP/1.1,0,text/html,,,616,341196,,,95,0,-1,-1,-1,-1,238,172.217.18.14,,334,
7,,2019-10-08T19:47:59.202+03:00,GET,https://www.youtube.com/yts/jsbin/scheduler-vflhRKj4U/scheduler.js,HTTP/1.1,,465,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,2595,,,113,0,-1,-1,-1,-1,0,172.217.18.14,,115,
8,,2019-10-08T19:47:59.204+03:00,GET,https://fonts.googleapis.com/css?family=YT%20Sans%3A300%2C500%2C700,HTTP/1.1,value,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,405,,,115,0,-1,-1,-1,-1,7,216.58.207.42,,124,
9,,2019-10-08T19:47:59.208+03:00,GET,https://yt3.ggpht.com/EFIgSVkffnumk8Bns1y0rABC1IXwSnzbPymgnLjiL-Dq69-9jM17Bvsk_po20OiBqPhI4Tqr=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,475,0,,200,OK,HTTP/1.1,0,image/jpeg,,,595,1294,,,111,0,-1,-1,-1,-1,0,216.58.207.65,,111,
10,,2019-10-08T19:47:59.208+03:00,GET,https://yt3.ggpht.com/NT4l8fEwROekQhZesLUnvt5wOVz3ybUoGBES_k6I96_lbNSKN5M_VXb6kYEf_Q7T0hj9Um7qeg=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,477,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1793,,,112,0,-1,-1,-1,-1,0,216.58.207.65,,113,
11,,2019-10-08T19:47:59.339+03:00,GET,https://www.youtube.com/yts/cssbin/www-main-desktop-home-page-skeleton-webp-vflFdVBW1.css,HTTP/1.1,,503,0,,200,OK,HTTP/1.1,0,text/css,,,562,1308,,,103,0,-1,-1,-1,-1,0,172.217.18.14,,104,
12,,2019-10-08T19:47:59.340+03:00,GET,https://www.youtube.com/yts/cssbin/www-onepick-webp-vflsYL2Tr.css,HTTP/1.1,,479,0,,200,OK,HTTP/1.1,0,text/css,,,559,329,,,101,0,-1,-1,-1,-1,0,172.217.18.14,,102,
13,,2019-10-08T19:47:59.341+03:00,GET,https://www.youtube.com/yts/jsbin/www-tampering-vflEgtWpA/www-tampering.js,HTTP/1.1,,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,3635,,,109,0,-1,-1,-1,-1,4,172.217.18.14,,114,
14,,2019-10-08T19:47:59.343+03:00,GET,https://yt3.ggpht.com/hrzkEEgLQhkyBw3AGBKYzVpPQOeAUrO2c2P27Mr-cjXPE2763LhCKzwsE07IDh8y2BGaycFD2YI=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,478,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1391,,,98,0,-1,-1,-1,-1,0,216.58.207.65,,100,
15,,2019-10-08T19:47:59.343+03:00,GET,https://yt3.ggpht.com/8_oN5lO7Zt19TY89MM798c20zEeJcwsK9zvvPHd3ivCH8MS_49LC9uqPutjA8MM5nEC7_a5Z=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,475,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1523,,,101,0,-1,-1,-1,-1,5,216.58.207.65,,107,
16,,2019-10-08T19:47:59.347+03:00,GET,https://www.youtube.com/yts/jsbin/www-prepopulator-vfl8hLntF/www-prepopulator.js,HTTP/1.1,,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,564,321,,,95,0,-1,-1,-1,-1,0,172.217.18.14,,96,
17,,2019-10-08T19:47:59.453+03:00,GET,https://www.youtube.com/yts/jsbin/network-vflX047bV/network.js,HTTP/1.1,,461,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,4691,,,94,0,-1,-1,-1,-1,1,172.217.18.14,,96,
18,,2019-10-08T19:47:59.453+03:00,GET,https://www.youtube.com/yts/jsbin/spf-vflqCgDoF/spf.js,HTTP/1.1,,453,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,12228,,,94,0,-1,-1,-1,-1,9,172.217.18.14,,104,
19,,2019-10-08T19:47:59.454+03:00,GET,https://www.youtube.com/yts/jsbin/desktop_polymer_v2-vflY-et8S/desktop_polymer_v2.js,HTTP/1.1,,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,568,723946,,,94,0,-1,-1,-1,-1,344,172.217.18.14,,438,
20,,2019-10-08T19:47:59.463+03:00,GET,https://yt3.ggpht.com/5HkUAx2SOolanKFGX7Au5O84m4XbzvjpxXowcw2EYjbZmUObb_MzjZiiSDfy3z9ImpC0PCuZIB_dlPnEqQ=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,485,0,,200,OK,HTTP/1.1,0,image/jpeg,,,584,1307,,,90,0,-1,-1,-1,-1,0,216.58.207.65,,91,
21,,2019-10-08T19:47:59.464+03:00,GET,https://yt3.ggpht.com/Bsc6zy16yU2e0JaJauPHnUWa2yPUoxlav9jaoh6dfpIMXyyEkZx9zUjyJoPeijrjVt6FcHXAsw=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,477,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1394,,,92,0,-1,-1,-1,-1,0,216.58.207.65,,93,
22,,2019-10-08T19:47:59.599+03:00,GET,https://yt3.ggpht.com/gOnKa357mu2i-gRLjoit6B8D17HNvkLkFj-i84rFcNqbfDbCeViCz0D5sXKZeyE8ZA521M0ZyQ=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,477,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1276,,,95,0,-1,-1,-1,-1,0,216.58.207.65,,96,
23,,2019-10-08T19:47:59.950+03:00,GET,https://i.ytimg.com/vi/1dBsJl6gqS4/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLAH4soO-2JG4DPVbAD0RNHX4brXAg,HTTP/1.1,value,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,6650,,,99,0,-1,-1,-1,-1,7,216.58.205.246,,107,
