,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T20:00:39.432+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,181,1842,94,2,127,0,1886,209.95.52.192,,2293,
1,,2019-10-08T20:00:39.753+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,163,-1,-1,1,304,-1,-1,209.95.52.192,,469,
2,,2019-10-08T20:00:39.991+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,167,264,0,0,3,0,303,209.95.52.192,,475,
3,,2019-10-08T20:00:39.991+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,173,265,0,0,0,0,307,209.95.52.192,,482,
4,,2019-10-08T20:00:39.995+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,217,270,0,0,231,0,314,209.95.52.192,,764,
5,,2019-10-08T20:00:39.997+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,215,272,0,1,366,0,316,209.95.52.192,,899,
6,,2019-10-08T20:00:40.035+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,177,251,0,1,353,0,281,209.95.52.192,,813,
7,,2019-10-08T20:00:40.454+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,159,-1,-1,0,0,-1,-1,209.95.52.192,,160,
8,,2019-10-08T20:00:40.588+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,174,-1,-1,0,8,-1,-1,209.95.52.192,,184,
9,,2019-10-08T20:00:40.782+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,164,-1,-1,0,0,-1,-1,209.95.52.192,,165,
10,,2019-10-08T20:00:40.952+03:00,GET,https://lizardpoint.com/shared/images/stamps500.gif,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/gif,,,190,80528,,,182,-1,-1,0,142,-1,-1,209.95.52.192,,325,
11,,2019-10-08T20:00:41.287+03:00,GET,https://lizardpoint.com/images/olderstudents1200.jpg,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,image/jpeg,,,192,381692,,,170,-1,-1,0,438,-1,-1,209.95.52.192,,609,
12,,2019-10-08T20:00:41.914+03:00,GET,https://lizardpoint.com/images/trivia-globe-qmark.gif,HTTP/1.1,458,0,,200,OK,HTTP/1.1,0,image/gif,,,189,9449,,,184,-1,-1,0,2,-1,-1,209.95.52.192,,187,
13,,2019-10-08T20:00:42.106+03:00,GET,https://lizardpoint.com/images/globe-search2.gif,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/gif,,,190,11055,,,173,-1,-1,0,2,-1,-1,209.95.52.192,,176,
14,,2019-10-08T20:00:42.288+03:00,GET,https://lizardpoint.com/images/artist-quizzes-van-gogh.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,190,54980,,,167,-1,-1,0,43,-1,-1,209.95.52.192,,211,
15,,2019-10-08T20:00:42.352+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css,,,662,6663,,,155,2615,35,0,252,0,2635,104.19.197.151,,3079,
16,,2019-10-08T20:00:42.873+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,font/woff2,,,191,18028,,,169,-1,-1,0,4,-1,-1,209.95.52.192,,174,
17,,2019-10-08T20:00:43.102+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,671,77160,,,102,198,0,1,375,0,226,104.19.197.151,,706,value
18,,2019-10-08T20:00:44.160+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,99,1365,0,0,28,0,1390,172.217.22.110,,1519,
19,,2019-10-08T20:00:44.313+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=905344020&t=pageview&_s=1&dl=https%3A%2F%2Flizardpoint.com%2F&ul=en-us&de=UTF-8&dt=Lizard%20Point%20Quizzes%20-%20Interactive%20Map%20Quizzes&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=1844105506&gjid=1333632046&cid=2019706857.1570554044&tid=UA-11262935-5&_gid=1203717909.1570554044&_r=1&z=1252780623,HTTP/1.1,725,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=2019706857.1570554044&jid=1844105506&_gid=1203717909.1570554044&gjid=1333632046&_v=j79&z=1252780623,647,420,,,101,-1,-1,0,0,-1,-1,172.217.22.110,,102,value
20,,2019-10-08T20:00:46.030+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33951,,,110,5404,31,1,60,0,5424,216.58.210.10,,5628,
21,,2019-10-08T20:00:48.314+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=2019706857.1570554044&jid=1844105506&_gid=1203717909.1570554044&gjid=1333632046&_v=j79&z=1252780623,HTTP/1.1,535,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=2019706857.1570554044&jid=1844105506&_v=j79&z=1252780623,675,367,,,109,3858,0,0,1,0,3892,74.125.140.157,,4004,value
22,,2019-10-08T20:00:49.978+03:00,GET,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=2019706857.1570554044&jid=1844105506&_v=j79&z=1252780623,HTTP/1.1,490,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=2019706857.1570554044&jid=1844105506&_v=j79&z=1252780623&slf_rd=1&random=3094570271,743,0,,,116,1512,1,1,0,0,1540,172.217.18.4,,1659,value
23,,2019-10-08T20:00:52.509+03:00,GET,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=2019706857.1570554044&jid=1844105506&_v=j79&z=1252780623&slf_rd=1&random=3094570271,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/gif,,,547,42,,,124,2374,0,0,1,0,2406,216.58.206.3,,2533,value
