,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,431,HTTP/1.1,GET,,http://www.flashbynight.com/,2944,,,text/html,0,249,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:21.889+03:00,1533,0,,46,168,9,3,-1,1304
1,,,0,,348,HTTP/1.1,GET,,http://www.flashbynight.com/main.css,2213,,,text/css,0,303,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.454+03:00,65,-1,,-1,-1,0,5,-1,59
2,,,0,,338,HTTP/1.1,GET,,http://www.flashbynight.com/controller.js,3840,,,application/x-javascript,0,321,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.461+03:00,100,0,,46,1,3,3,-1,44
3,,,0,,334,HTTP/1.1,GET,,http://www.flashbynight.com/jquery.js,32857,,,application/x-javascript,0,368,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.462+03:00,131,0,,45,2,37,3,-1,42
4,,,0,,343,HTTP/1.1,GET,,http://www.flashbynight.com/deviceDetection.js,1465,,,application/x-javascript,0,321,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.462+03:00,97,0,,46,2,2,1,-1,44
5,,,0,,381,HTTP/1.1,GET,,http://www.flashbynight.com/newimg/coffeecup.png,3019,,,image/png,0,305,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.463+03:00,97,0,,46,0,2,2,-1,46
6,,,0,,384,HTTP/1.1,GET,,http://www.flashbynight.com/newimg/headerblack2.png,5259,,,image/png,0,306,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.463+03:00,100,0,,47,0,1,2,-1,48
7,,,0,,379,HTTP/1.1,GET,,http://www.flashbynight.com/newimg/goright.png,2633,,,image/png,0,306,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.581+03:00,44,-1,,-1,-1,1,0,-1,42
8,,,0,,367,HTTP/1.1,GET,,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,36811,,,text/javascript;charset=UTF-8,0,536,HTTP/1.1,,200,OK,172.217.22.98,2019-10-09T19:07:23.582+03:00,321,0,,27,39,88,7,-1,157
9,,,0,,378,HTTP/1.1,GET,,http://www.flashbynight.com/newimg/goleft.png,2834,,,image/png,0,305,HTTP/1.1,,200,OK,182.239.42.187,2019-10-09T19:07:23.611+03:00,43,-1,,-1,-1,1,0,-1,41
