,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,469,HTTP/1.1,GET,https://www.musictheory.net/,5172,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:01.891+03:00,7362,0,,4230,184,5,3,3927,2937
1,,,0,,421,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/ef51f262c6665067832a7a5fdb1c51a8f6b64248/site.css,46874,,,text/css,0,380,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:04.864+03:00,731,-1,,-1,-1,240,0,-1,489
2,,,0,,415,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/64b540326274576171837c950b3ac06a5ebc3851/preflight_site.js,1268,,,text/javascript,0,385,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:05.416+03:00,754,0,,521,0,0,3,283,228
3,,,0,,405,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/f0fac58ccf085cb585b95fce3ad8478d48836a95/site.js,26869,,,text/javascript,0,387,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:05.418+03:00,1655,0,,528,0,26,1,284,1098
4,,,0,,407,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/45cda7d2148382493ca3890f78f572f7cd3e77fb/shared.js,59691,,,text/javascript,0,387,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:05.418+03:00,3988,0,,530,0,2474,3,294,980
5,,,0,,452,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/ba0bd192ebb1523a47959f7ab07ce1d58ada0984/home_ss_theory.png,46149,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:05.419+03:00,4682,0,,535,0,689,3,298,3454
6,,,0,,452,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/77233ac2d129f5e1f7e9127fe2d56832ccf4ab1d/home_ss_tenuto.jpg,48828,,,image/jpeg,0,382,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:05.422+03:00,3998,0,,539,0,2418,1,301,1038
7,,,0,,428,HTTP/1.1,GET,https://www.musictheory.net/,0,,,,0,447,HTTP/1.1,,304,Not Modified,66.175.219.138,2019-10-09T19:56:08.927+03:00,292,-1,,-1,-1,0,1,-1,290
8,,,0,,353,HTTP/1.1,GET,https://www.musictheory.net/lessons,21847,,,text/html,0,507,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:08.927+03:00,286,-1,,-1,-1,43,0,-1,242
9,,,0,,355,HTTP/1.1,GET,https://www.musictheory.net/exercises,15981,,,text/html,0,507,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:08.928+03:00,299,-1,,-1,-1,0,0,-1,298
10,,,0,,351,HTTP/1.1,GET,https://www.musictheory.net/tools,9573,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:08.929+03:00,288,-1,,-1,-1,0,0,-1,287
11,,,0,,354,HTTP/1.1,GET,https://www.musictheory.net/products,5850,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:08.930+03:00,297,-1,,-1,-1,0,0,-1,296
12,,,0,,350,HTTP/1.1,GET,https://www.musictheory.net/news,4131,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:09.217+03:00,241,-1,,-1,-1,2,0,-1,237
13,,,0,,353,HTTP/1.1,GET,https://www.musictheory.net/contact,6088,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:09.224+03:00,241,-1,,-1,-1,1,1,-1,238
14,,,0,,349,HTTP/1.1,GET,https://www.musictheory.net/s/b,2,,,text/plain; charset=utf-8,0,452,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:09.227+03:00,277,-1,,-1,-1,0,0,-1,276
15,,,0,,499,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/8924d2ab988d571d7eb5565ebfe3f9a51c6aa5f2/home.png,10444,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:09.236+03:00,238,-1,,-1,-1,1,0,-1,237
16,,,0,,499,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/8c0715fc0390c0f6093afd577e99c57d1d3e58ba/site.png,41313,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-09T19:56:09.236+03:00,478,-1,,-1,-1,4,0,-1,473
