,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T16:02:54.925+03:00,GET,https://www.codecademy.com/,HTTP/1.1,1218,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,894,20831,,,-1,-1,0,258,12,-1,-1,104.20.25.250,,271,,
1,,2019-10-08T16:02:55.216+03:00,POST,https://rs.fullstory.com/rec/bundle?OrgId=P1PZM&UserId=6688634557988864&SessionId=6491264754941952&PageId=5466423616634880&Seq=3&PageStart=1570540805818&PrevBundleTime=1570540815943&SkipResponseBody=true,HTTP/1.1,619,67,,200,OK,HTTP/1.1,0,,,,289,0,,,-1,-1,0,276,0,-1,-1,35.186.194.58,,276,value,
2,,2019-10-08T16:02:55.274+03:00,GET,https://www.codecademy.com/webpack/104.b0ca2c49a6d3e4f35cbc.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,534,1973,,,-1,-1,0,118,0,-1,-1,104.20.25.250,,119,,
3,,2019-10-08T16:02:55.276+03:00,GET,https://www.codecademy.com/webpack/31.5aef409b13034b8393c0.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,533,252,,,-1,-1,0,105,0,-1,-1,104.20.25.250,,107,,
4,,2019-10-08T16:02:55.276+03:00,GET,https://www.codecademy.com/webpack/34.68bde9f8d8e049a57945.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,533,131,,,-1,-1,0,105,0,-1,-1,104.20.25.250,,107,,
5,,2019-10-08T16:02:55.391+03:00,GET,https://www.codecademy.com/webpack/91.4a2e66824076c2a0f6ba.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,518,339,,,-1,-1,1,109,0,-1,-1,104.20.25.250,,110,,
6,,2019-10-08T16:02:55.391+03:00,GET,https://www.codecademy.com/webpack/75.56a72f875e30b76d4158.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,533,268,,,-1,-1,0,105,0,-1,-1,104.20.25.250,,106,,
7,,2019-10-08T16:02:55.397+03:00,GET,https://www.codecademy.com/webpack/110.6cc12a1df6b7ccb47bab.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,533,461,,,-1,-1,0,115,0,-1,-1,104.20.25.250,,116,,
8,,2019-10-08T16:02:55.501+03:00,GET,https://www.codecademy.com/webpack/0.834129a31aa84bdadb07.chunk.css,HTTP/1.1,1152,0,,200,OK,HTTP/1.1,0,text/css,,,533,325,,,-1,-1,1,91,0,-1,-1,104.20.25.250,,93,,
9,,2019-10-08T16:02:55.511+03:00,GET,https://www.codecademy.com/webpack/1.c2e56ddc298af3dce9de.chunk.css,HTTP/1.1,1152,0,,200,OK,HTTP/1.1,0,text/css,,,533,147,,,-1,-1,0,107,0,-1,-1,104.20.25.250,,108,,
