,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,469,HTTP/1.1,GET,https://www.musictheory.net/,5172,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:18.517+03:00,2508,0,,2073,181,5,8,2019,238
1,,,0,,421,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/ef51f262c6665067832a7a5fdb1c51a8f6b64248/site.css,46874,,,text/css,0,380,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:18.805+03:00,626,-1,,-1,-1,187,1,-1,437
2,,,0,,407,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/45cda7d2148382493ca3890f78f572f7cd3e77fb/shared.js,59691,,,text/javascript,0,387,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.264+03:00,1053,0,,439,0,183,9,397,421
3,,,0,,405,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/f0fac58ccf085cb585b95fce3ad8478d48836a95/site.js,26869,,,text/javascript,0,387,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.264+03:00,906,0,,450,0,5,6,421,443
4,,,0,,415,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/64b540326274576171837c950b3ac06a5ebc3851/preflight_site.js,1268,,,text/javascript,0,385,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.266+03:00,668,0,,422,0,0,8,383,236
5,,,0,,452,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/77233ac2d129f5e1f7e9127fe2d56832ccf4ab1d/home_ss_tenuto.jpg,48828,,,image/jpeg,0,382,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.266+03:00,1080,0,,447,0,192,1,423,438
6,,,0,,452,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/ba0bd192ebb1523a47959f7ab07ce1d58ada0984/home_ss_theory.png,46149,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.270+03:00,1095,0,,452,0,197,7,426,437
7,,,0,,353,HTTP/1.1,GET,https://www.musictheory.net/lessons,21847,,,text/html,0,507,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.978+03:00,245,-1,,-1,-1,3,1,-1,240
8,,,0,,428,HTTP/1.1,GET,https://www.musictheory.net/,0,,,,0,447,HTTP/1.1,,304,Not Modified,66.175.219.138,2019-10-06T16:34:19.978+03:00,239,-1,,-1,-1,1,1,-1,237
9,,,0,,355,HTTP/1.1,GET,https://www.musictheory.net/exercises,15981,,,text/html,0,507,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.982+03:00,234,-1,,-1,-1,0,1,-1,231
10,,,0,,351,HTTP/1.1,GET,https://www.musictheory.net/tools,9573,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.982+03:00,248,-1,,-1,-1,0,0,-1,247
11,,,0,,354,HTTP/1.1,GET,https://www.musictheory.net/products,5850,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.983+03:00,230,-1,,-1,-1,3,0,-1,226
12,,,0,,350,HTTP/1.1,GET,https://www.musictheory.net/news,4131,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:19.983+03:00,236,-1,,-1,-1,1,0,-1,234
13,,,0,,353,HTTP/1.1,GET,https://www.musictheory.net/contact,6088,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:20.224+03:00,223,-1,,-1,-1,0,0,-1,222
14,,,0,,349,HTTP/1.1,GET,https://www.musictheory.net/s/b,2,,,text/plain; charset=utf-8,0,452,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:20.231+03:00,276,-1,,-1,-1,0,0,-1,274
15,,,0,,499,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/8c0715fc0390c0f6093afd577e99c57d1d3e58ba/site.png,41313,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:20.243+03:00,280,-1,,-1,-1,37,2,-1,239
16,,,0,,499,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/8924d2ab988d571d7eb5565ebfe3f9a51c6aa5f2/home.png,10444,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-06T16:34:20.244+03:00,247,-1,,-1,-1,0,1,-1,244
