,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,478,HTTP/1.1,GET,value,http://www.drivemeinsane.com/cgi-bin/newgetmesgxml2.cgi?instance=1858713948&RANDOM=.0.13753378879842315,,0,,,text/html;charset=UTF-8,0,148,HTTP/1.1,,200,OK,50.23.33.202,2019-10-05T10:55:14.203+03:00,224,-1,,-1,-1,0,0,-1,222
1,,,0,,465,HTTP/1.1,GET,,https://asoftmurmur.com/,,188756,,,text/html; charset=UTF-8,0,501,HTTP/1.1,,200,OK,104.131.95.55,2019-10-05T10:55:14.369+03:00,2309,0,,1561,143,295,3,1529,305
2,,,0,,399,HTTP/1.1,GET,,https://asoftmurmur.com/assets/img/spinner.gif,,5553,,,image/gif,0,460,HTTP/1.1,,200,OK,104.131.95.55,2019-10-05T10:55:14.990+03:00,173,-1,,-1,-1,0,0,-1,172
3,,,0,,403,HTTP/1.1,GET,,https://asoftmurmur.com/assets/img/bg-high-res.jpg,,140196,,,image/jpeg,0,464,HTTP/1.1,,200,OK,104.131.95.55,2019-10-05T10:55:15.346+03:00,966,0,,373,0,256,1,286,335
4,,,0,,413,HTTP/1.1,GET,,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,,32794,,,image/png,0,461,HTTP/1.1,,200,OK,104.131.95.55,2019-10-05T10:55:15.353+03:00,694,0,,337,0,27,2,299,328
5,,,0,,413,HTTP/1.1,GET,,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,,50481,,,image/png,0,461,HTTP/1.1,,200,OK,104.131.95.55,2019-10-05T10:55:15.361+03:00,769,0,,351,1,113,2,310,300
6,,,0,,405,HTTP/1.1,GET,,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,,43716,,,application/font-sfnt,0,497,HTTP/1.1,,200,OK,104.131.95.55,2019-10-05T10:55:15.484+03:00,199,-1,,-1,-1,7,0,-1,191
7,,,0,,361,HTTP/1.1,GET,,https://www.google-analytics.com/analytics.js,,17803,,,text/javascript,0,541,HTTP/1.1,,200,OK,216.58.206.14,2019-10-05T10:55:16.331+03:00,1742,0,,1584,1,48,1,1552,105
8,,,0,,675,HTTP/1.1,GET,value,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1751419678&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=920174949&gjid=377749136&cid=89327852.1570262117&tid=UA-42700626-2&_gid=1648450955.1570262117&_r=1&z=1470113510,,416,,,text/html; charset=UTF-8,0,643,HTTP/1.1,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=89327852.1570262117&jid=920174949&_gid=1648450955.1570262117&gjid=377749136&_v=j79&z=1470113510,302,Found,216.58.206.14,2019-10-05T10:55:16.521+03:00,107,-1,,-1,-1,0,0,-1,105
9,,,0,,397,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,,-1,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:16.724+03:00,2939,0,,1607,105,918,0,1579,308
10,,,0,,397,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,,-1,,,video/mp4,0,453,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:16.729+03:00,2179,0,,1594,117,167,0,1561,298
11,,,0,,403,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,,-1,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:16.732+03:00,2228,0,,1618,142,168,2,1562,296
12,,,0,,403,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,,-1,,,video/mp4,0,453,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:16.733+03:00,2150,0,,1614,114,136,0,1579,284
13,,,0,,551,HTTP/1.1,GET,value,http://www.drivemeinsane.com/cgi-bin/getstatexml.cgi?cam=5&cookiename=Anonymous_User33668744&pagename=Main&instance=98286649&RANDOM=.0.30159650185211406,,595,,,text/xml,0,142,HTTP/1.1,,200,OK,50.23.33.202,2019-10-05T10:55:16.917+03:00,386,-1,,-1,-1,172,0,-1,212
14,,,0,,397,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,,-1,,,video/mp4,0,453,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:17.385+03:00,619,0,,306,0,5,4,278,302
15,,,0,,531,HTTP/1.1,GET,value,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=89327852.1570262117&jid=920174949&_gid=1648450955.1570262117&gjid=377749136&_v=j79&z=1470113510,,35,,,image/gif,0,566,HTTP/1.1,,200,OK,74.125.206.154,2019-10-05T10:55:17.502+03:00,902,0,,790,3,0,2,754,106
16,,,0,,483,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,,21574,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:17.597+03:00,638,0,,339,0,0,6,302,291
17,,,0,,526,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,,85481,,,video/mp4,0,461,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:17.605+03:00,774,0,,307,0,170,1,262,294
18,,,0,,523,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,,26664,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:17.608+03:00,603,0,,310,0,1,1,264,289
19,,,0,,397,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,,-1,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:17.781+03:00,643,0,,322,0,20,0,290,299
20,,,0,,522,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,,148480,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:17.940+03:00,473,-1,,-1,-1,274,0,-1,198
21,,,0,,516,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,,196608,,,video/mp4,0,457,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:17.943+03:00,451,-1,,-1,-1,282,0,-1,168
22,,,0,,484,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,,38484,,,video/mp4,0,461,HTTP/1.1,,206,Partial Content,165.227.192.63,2019-10-05T10:55:18.079+03:00,201,-1,,-1,-1,36,2,-1,163
23,,,0,,488,HTTP/1.1,GET,,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,No response received,-1,,,,0,-1,unknown,,0,,165.227.192.63,2019-10-05T10:55:18.266+03:00,312,0,,311,0,0,1,242,0
