,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T19:09:43.325+03:00,GET,https://www.rainymood.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,523,3489,,,2924,405,88,2,2951,18,0,104.27.171.92,,3466,
1,,2019-10-09T19:09:43.781+03:00,GET,https://www.rainymood.com/i/icons/instagram/instagram-48a.png,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,image/png,,,481,749,,,-1,94,-1,1,-1,2,-1,104.27.171.92,,98,
2,,2019-10-09T19:09:43.884+03:00,GET,https://www.rainymood.com/i/b/75.jpg,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/jpeg,,,485,143621,,,-1,104,-1,1,-1,182,-1,104.27.171.92,,288,
3,,2019-10-09T19:09:43.937+03:00,GET,https://www.rainymood.com/css/marcellussc-regular-webfont.woff2,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,font/woff2,,,484,25072,,,119,94,0,0,143,72,0,104.27.171.92,,311,
4,,2019-10-09T19:09:43.939+03:00,GET,https://www.rainymood.com/i/icons/twitter/twitter-48a.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,481,689,,,122,98,0,0,154,0,0,104.27.171.92,,255,
5,,2019-10-09T19:09:43.947+03:00,GET,https://www.rainymood.com/i/icons/facebook/facebook-48a.png,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/png,,,481,561,,,121,97,0,0,152,63,0,104.27.171.92,,314,
6,,2019-10-09T19:09:43.950+03:00,GET,https://www.rainymood.com/i/badgeGooglePlay1.png,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,image/png,,,482,2627,,,116,147,0,1,151,3,0,104.27.171.92,,304,
7,,2019-10-09T19:09:43.950+03:00,GET,https://www.rainymood.com/i/badgeApple1.png,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,image/png,,,482,2247,,,116,147,0,0,155,1,0,104.27.171.92,,305,
8,,2019-10-09T19:09:44.042+03:00,GET,https://www.rainymood.com/appad/appad-poster1.jpg,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,image/jpeg,,,485,56214,,,-1,96,-1,0,-1,93,-1,104.27.171.92,,191,
9,,2019-10-09T19:09:44.158+03:00,GET,https://www.rainymood.com/audio1110/0.m4a,HTTP/1.1,441,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,432,-1,,,-1,379,-1,0,-1,606,-1,104.27.171.92,,986,
10,,2019-10-09T19:09:45.149+03:00,GET,https://rainymood.com/i/play4.png,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/png,,,483,1223,,,1221,110,86,0,1250,1,0,104.27.171.92,,1449,
11,,2019-10-09T19:09:45.326+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,363,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1491,100,0,0,1527,28,0,216.58.206.14,,1657,
12,,2019-10-09T19:09:45.497+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&aip=1&a=1484399373&t=pageview&_s=1&dl=https%3A%2F%2Fwww.rainymood.com%2F&ul=en-us&de=UTF-8&dt=Rainy%20Mood%20-%20Helps%20you%20to%20focus%2C%20relax%2C%20and%20sleep.%20Now%20available%20for%20iOS%20and%20Android&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAAAB~&cid=1796808925.1570637385&tid=UA-685453-6&_gid=900647920.1570637385&z=577962839,HTTP/1.1,748,0,,200,OK,HTTP/1.1,0,image/gif,,,480,35,,,-1,83,-1,1,-1,1,-1,216.58.206.14,,86,value
