,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T19:11:10.857+03:00,GET,http://weavesilk.com/,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/html,,,338,23959,,,132,43,0,5,288,108,-1,52.216.179.178,,578,,
1,,2019-10-09T19:11:11.363+03:00,GET,http://weavesilk.com/css/normalize.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,6874,,,1,30,0,1,323,2,-1,52.216.179.178,,358,,
2,,2019-10-09T19:11:11.365+03:00,GET,http://weavesilk.com/css/font-awesome.css,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,text/css,,,337,21596,,,133,39,0,1,306,0,-1,52.216.179.178,,481,,
3,,2019-10-09T19:11:11.365+03:00,GET,http://weavesilk.com/css/ss-social.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,4223,,,1,38,0,1,319,1,-1,52.216.179.178,,363,,
4,,2019-10-09T19:11:11.366+03:00,GET,http://weavesilk.com/css/site.css,HTTP/1.1,331,0,,200,OK,HTTP/1.1,0,text/css,,,337,28760,,,148,38,0,1,320,0,-1,52.216.179.178,,509,,
5,,2019-10-09T19:11:11.372+03:00,GET,http://weavesilk.com/js/jquery-1.8.1.min.js,HTTP/1.1,326,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,92791,,,343,33,0,1,329,0,-1,52.216.179.178,,708,,
6,,2019-10-09T19:11:11.463+03:00,GET,http://weavesilk.com/js/jquery.fullscreen.js,HTTP/1.1,327,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,1439,,,1,-1,-1,0,329,-1,-1,52.216.179.178,,331,,
7,,2019-10-09T19:11:11.724+03:00,GET,http://weavesilk.com/js/underscore.min.js,HTTP/1.1,324,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,13450,,,1,-1,-1,0,213,-1,-1,52.216.179.178,,215,,
8,,2019-10-09T19:11:11.733+03:00,GET,http://weavesilk.com/js/knockout-2.2.0.min.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,40870,,,164,-1,-1,0,197,-1,-1,52.216.179.178,,363,,
9,,2019-10-09T19:11:11.804+03:00,GET,http://weavesilk.com/js/d3.v3.min.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,377,137488,,,416,-1,-1,1,174,-1,-1,52.216.179.178,,592,,
10,,2019-10-09T19:11:11.848+03:00,GET,http://weavesilk.com/js/keymaster.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,7050,,,5,-1,-1,0,178,-1,-1,52.216.179.178,,185,,
11,,2019-10-09T19:11:11.877+03:00,GET,http://weavesilk.com/js/noise.js,HTTP/1.1,315,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,8599,,,2,-1,-1,0,184,-1,-1,52.216.179.178,,187,,
12,,2019-10-09T19:11:11.949+03:00,GET,http://weavesilk.com/js/detect.js,HTTP/1.1,316,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,2930,,,5,-1,-1,0,172,-1,-1,52.216.179.178,,178,,
13,,2019-10-09T19:11:12.036+03:00,GET,http://weavesilk.com/js/site.js,HTTP/1.1,314,0,,200,OK,HTTP/1.1,0,text/javascript,,,344,97870,,,280,-1,-1,0,181,-1,-1,52.216.179.178,,462,,
14,,2019-10-09T19:11:12.154+03:00,GET,http://weavesilk.com/img/announcement.png,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,image/png,,,371,110729,,,265,-1,-1,0,180,-1,-1,52.216.179.178,,446,,
15,,2019-10-09T19:11:12.505+03:00,GET,http://weavesilk.com/img/announcement_hover.png,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/png,,,371,110451,,,122,-1,-1,0,193,-1,-1,52.216.179.178,,316,,
16,,2019-10-09T19:11:12.505+03:00,GET,http://weavesilk.com/img/silk_text.png,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,image/png,,,370,25288,,,14,-1,-1,0,175,-1,-1,52.216.179.178,,190,,
17,,2019-10-09T19:11:12.505+03:00,GET,http://weavesilk.com/img/draw_something.png,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,image/png,,,370,13629,,,3,-1,-1,0,189,-1,-1,52.216.179.178,,193,,
18,,2019-10-09T19:11:12.600+03:00,GET,http://platform.twitter.com/widgets.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,506,28700,,,69,25,0,1,164,30,-1,192.229.233.25,,291,,
19,,2019-10-09T19:11:12.732+03:00,GET,http://weavesilk.com/font/DINWeb.woff,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,554,30972,,,105,-1,-1,0,243,-1,-1,52.216.179.178,,348,,
20,,2019-10-09T19:11:12.732+03:00,GET,http://weavesilk.com/font/ss-social/ss-social-regular.woff,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,553,9764,,,30,-1,-1,0,196,-1,-1,52.216.179.178,,227,,
21,,2019-10-09T19:11:12.733+03:00,GET,http://weavesilk.com/font/fontawesome-webfont.woff?v=3.0.1,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,554,29380,,,102,-1,-1,0,226,-1,-1,52.216.179.178,,329,value,
22,,2019-10-09T19:11:12.761+03:00,GET,http://yurivish.com/Silk%20Static/Silkura%20-May%2002%20-loop.m4a,HTTP/1.1,370,0,,302,Found,HTTP/1.1,0,text/html;charset=iso-8859-1,,http://127.0.0.1/Silk%20Static/Silkura%20-May%2002%20-loop.m4a,264,246,,,0,27,0,1,309,129,-1,74.208.236.11,,468,,
23,,2019-10-09T19:11:12.765+03:00,GET,http://yurivish.com/Silk%20Static/Startup%201%2016-44.m4a,HTTP/1.1,362,0,,302,Found,HTTP/1.1,0,text/html;charset=iso-8859-1,,http://127.0.0.1/Silk%20Static/Startup%201%2016-44.m4a,256,238,,,1,31,0,0,328,126,-1,74.208.236.11,,488,,
24,,2019-10-09T19:11:14.247+03:00,GET,http://yurivish.com/Silk%20Static/Silkura%20-May%2002%20-loop.ogg,HTTP/1.1,370,0,,302,Found,HTTP/1.1,0,text/html;charset=iso-8859-1,,http://127.0.0.1/Silk%20Static/Silkura%20-May%2002%20-loop.ogg,264,246,,,0,-1,-1,0,201,-1,-1,74.208.236.11,,201,,
25,,2019-10-09T19:11:14.283+03:00,GET,http://yurivish.com/Silk%20Static/Startup%201%2016-44.ogg,HTTP/1.1,362,0,,302,Found,HTTP/1.1,0,text/html;charset=iso-8859-1,,http://127.0.0.1/Silk%20Static/Startup%201%2016-44.ogg,256,238,,,0,-1,-1,0,200,-1,-1,74.208.236.11,,201,,
26,,2019-10-09T19:11:15.700+03:00,GET,https://www.googletagmanager.com/gtag/js?id=UA-20622056-1,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,27315,,,83,4265,0,2,114,32,4231,216.58.207.72,,4497,value,
27,,2019-10-09T19:11:15.887+03:00,GET,https://connect.facebook.net/en_GB/all.js,HTTP/1.1,329,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,731,1781,,,0,3253,0,1,86,29,3134,157.240.1.23,,3372,,
28,,2019-10-09T19:11:16.209+03:00,GET,https://connect.facebook.net/en_GB/all.js?hash=444f46cc933152a47a479b4887660dbf&ua=modern_es6,HTTP/1.1,433,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,56394,,,116,224,0,1,96,0,165,157.240.1.23,,438,value,
29,,2019-10-09T19:11:19.113+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,115,3187,0,0,90,0,3153,216.58.206.14,,3395,,
30,,2019-10-09T19:11:19.349+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=626800020&t=pageview&_s=1&dl=http%3A%2F%2Fweavesilk.com%2F&ul=en-us&de=UTF-8&dt=Silk%20%E2%80%93%20Interactive%20Generative%20Art&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAUAB~&jid=1571592680&gjid=1888753936&cid=1845482960.1570637479&tid=UA-20622056-1&_gid=49728487.1570637479&_r=1&gtm=2oua20&z=2028659172,HTTP/1.1,713,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,-1,-1,0,112,-1,-1,216.58.206.14,,114,value,
31,,2019-10-09T19:11:20.854+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,515,11744,,,4,4339,0,1,107,25,4301,157.240.1.23,,4477,value,
32,,2019-10-09T19:11:21.893+03:00,GET,https://www.facebook.com/x/oauth/status?client_id=408271179236250&input_token&origin=1&redirect_uri=http%3A%2F%2Fweavesilk.com%2F&sdk=joey&wants_cookie_data=false,HTTP/1.1,502,0,,200,OK,HTTP/1.1,0,text/plain; charset=UTF-8,,,673,0,,,0,5356,0,0,147,42,5329,157.240.1.35,,5547,value,
33,,2019-10-09T19:11:24.199+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=http%3A%2F%2Fweavesilk.com,HTTP/1.1,588,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,5,11257,0,0,97,0,11202,192.229.233.25,,11360,value,
34,,2019-10-09T19:11:24.341+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,1,-1,-1,1,91,-1,-1,192.229.233.25,,94,,
35,,2019-10-09T19:11:24.463+03:00,GET,https://www.facebook.com/plugins/like.php?app_id=408271179236250&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df34d340449e16f%26domain%3Dweavesilk.com%26origin%3Dhttp%253A%252F%252Fweavesilk.com%252Ffbfb8da80a5a9%26relation%3Dparent.parent&color_scheme=dark&container_width=0&font=lucida%20grande&href=https%3A%2F%2Fwww.facebook.com%2Fpages%2FSilk%2F135022713223750%3Fref%3Dts%26fref%3Dts&layout=button_count&locale=en_GB&sdk=joey&send=false&show_faces=true&width=50,HTTP/1.1,979,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,0,-1,-1,157.240.1.35,,0,value,No response received
36,,2019-10-09T19:11:24.472+03:00,GET,https://platform.twitter.com/widgets/follow_button.e3a0e1b01ae601b6c9cf798a93ab7e69.en.html,HTTP/1.1,557,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,0,-1,-1,192.229.233.25,,0,,No response received
