,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:56:55.753+03:00,GET,https://beta.freerice.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html,,,662,3831,,,14,0,1708,146,102,2,1674,151.101.18.133,,1974,
1,,2019-10-09T16:56:55.913+03:00,GET,https://beta.freerice.com/static/css/main.99e40889.chunk.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,664,14491,,,55,-1,-1,-1,103,2,-1,151.101.18.133,,161,
2,,2019-10-09T16:56:56.088+03:00,GET,https://beta.freerice.com/assets/oil/oil.1.2.2-RELEASE.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,677,27315,,,46,-1,-1,-1,125,1,-1,151.101.18.133,,172,
3,,2019-10-09T16:56:56.090+03:00,GET,https://beta.freerice.com/static/js/2.870e4b6e.chunk.js,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,application/javascript,,,679,115779,,,169,0,168,0,138,1,134,151.101.18.133,,477,
4,,2019-10-09T16:56:56.093+03:00,GET,https://beta.freerice.com/static/js/main.f4b3d39b.chunk.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,59912,,,104,0,169,0,111,1,133,151.101.18.133,,387,
5,,2019-10-09T16:56:57.098+03:00,GET,https://polyfill.io/v3/polyfill.min.js?features=default%2CArray.prototype.find%2CArray.prototype.includes,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,696,74,,,1,0,1179,2,88,0,1144,151.101.130.109,,1272,value
6,,2019-10-09T16:56:57.432+03:00,GET,https://beta.freerice.com/static/media/logo.39e48f11.svg,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,5297,,,2,-1,-1,-1,97,0,-1,151.101.18.133,,100,
7,,2019-10-09T16:56:57.437+03:00,GET,https://beta.freerice.com/static/media/anonymous.6af2173d.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,400,,,0,-1,-1,-1,93,0,-1,151.101.18.133,,94,
8,,2019-10-09T16:56:57.483+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Bold.0ac670c8.woff2,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,14636,,,50,0,172,0,105,1,137,151.101.18.133,,329,
9,,2019-10-09T16:56:57.551+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Regular.9bd6fd3f.woff2,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,font/woff2,,,614,13964,,,6,-1,-1,-1,187,0,-1,151.101.18.133,,194,
10,,2019-10-09T16:56:59.396+03:00,GET,https://oil.axelspringer.com/release/1.2.2/1.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,2384,,,5,0,2052,81,103,0,2029,52.16.226.187,,2243,
11,,2019-10-09T16:56:59.418+03:00,GET,https://oil.axelspringer.com/release/1.2.2/0.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,11657,,,72,0,2074,81,113,0,2053,52.16.226.187,,2343,
