,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:27:38.958+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4821,,,130,2255,2,325,0,2292,26,104.18.73.2,,2778,,
1,,2019-10-09T17:27:39.354+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,568,2040,,,-1,-1,2,141,-1,-1,5,104.18.73.2,,149,value,
2,,2019-10-09T17:27:39.522+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,-1,2,102,-1,-1,3,104.18.73.2,,109,,
3,,2019-10-09T17:27:39.655+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,-1,0,122,-1,-1,101,104.18.73.2,,224,value,
4,,2019-10-09T17:27:41.411+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,17803,,,0,1830,1,104,0,1865,32,216.58.206.14,,2004,,
5,,2019-10-09T17:27:41.572+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1992114358&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=1005225528&gjid=804869829&cid=1921171021.1570631262&tid=UA-26211653-1&_gid=1593949089.1570631262&_r=1&z=407338226,HTTP/1.1,714,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1921171021.1570631262&jid=1005225528&_gid=1593949089.1570631262&gjid=804869829&_v=j79&z=407338226,645,418,,,-1,-1,0,100,-1,-1,0,216.58.206.14,,101,value,
6,,2019-10-09T17:27:41.610+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20407,,,27,1992,0,199,0,2028,93,216.58.208.46,,2350,,
7,,2019-10-09T17:27:41.909+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,-1,0,86,-1,-1,48,216.58.208.46,,135,,
8,,2019-10-09T17:27:42.011+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vflkOdfq9/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,140,1,87,0,172,87,216.58.208.46,,348,,
9,,2019-10-09T17:27:42.013+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,393160,,,0,144,0,90,0,178,375,216.58.208.46,,645,,
10,,2019-10-09T17:27:42.176+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,35,2758,0,110,0,2784,142,172.217.18.162,,3073,,
11,,2019-10-09T17:27:42.475+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,0,129,-1,-1,118,172.217.18.162,,248,,
12,,2019-10-09T17:27:42.712+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29994,,,-1,-1,0,92,-1,-1,10,216.58.208.46,,104,,
13,,2019-10-09T17:27:42.739+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,0,117,-1,-1,63,172.217.18.162,,181,,
14,,2019-10-09T17:27:43.610+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,0,993,0,106,0,1012,3,172.217.22.98,,1123,,
15,,2019-10-09T17:27:43.743+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,-1,-1,0,108,-1,-1,0,172.217.22.98,,110,,
16,,2019-10-09T17:27:43.865+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,-1,-1,0,109,-1,-1,1,172.217.22.98,,111,value,
17,,2019-10-09T17:27:46.080+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1921171021.1570631262&jid=1005225528&_gid=1593949089.1570631262&gjid=804869829&_v=j79&z=407338226,HTTP/1.1,537,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,29,4340,0,100,0,4367,0,74.125.140.155,,4499,value,
18,,2019-10-09T17:27:46.417+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,25,3747,0,91,0,3768,0,216.58.206.6,,3886,,
19,,2019-10-09T17:27:47.481+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5323,,,1,1391,0,104,0,1432,2,172.217.21.228,,1541,,
20,,2019-10-09T17:27:48.123+03:00,GET,https://www.youtube.com/generate_204?cHxXlQ,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,-1,0,101,-1,-1,0,216.58.208.46,,102,value,
