,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:08:41.469+03:00,GET,https://beta.freerice.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html,,,663,3831,,,1418,21,0,201,2,99,1383,151.101.18.133,,1743,
1,,2019-10-09T16:08:41.624+03:00,GET,https://beta.freerice.com/static/css/main.99e40889.chunk.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,663,14491,,,-1,46,-1,-1,1,181,-1,151.101.18.133,,228,
2,,2019-10-09T16:08:41.797+03:00,GET,https://beta.freerice.com/assets/oil/oil.1.2.2-RELEASE.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,27315,,,158,70,0,0,7,104,128,151.101.18.133,,340,
3,,2019-10-09T16:08:41.798+03:00,GET,https://beta.freerice.com/static/js/2.870e4b6e.chunk.js,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,115779,,,162,169,0,0,4,173,130,151.101.18.133,,510,
4,,2019-10-09T16:08:41.799+03:00,GET,https://beta.freerice.com/static/js/main.f4b3d39b.chunk.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,59912,,,160,125,0,0,1,98,130,151.101.18.133,,386,
5,,2019-10-09T16:08:42.919+03:00,GET,https://polyfill.io/v3/polyfill.min.js?features=default%2CArray.prototype.find%2CArray.prototype.includes,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,696,74,,,1250,2,0,35,0,91,1225,151.101.130.109,,1379,value
6,,2019-10-09T16:08:43.357+03:00,GET,https://beta.freerice.com/static/media/logo.39e48f11.svg,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,5297,,,-1,2,-1,-1,0,96,-1,151.101.18.133,,100,
7,,2019-10-09T16:08:43.361+03:00,GET,https://beta.freerice.com/static/media/anonymous.6af2173d.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,664,400,,,-1,0,-1,-1,0,163,-1,151.101.18.133,,165,
8,,2019-10-09T16:08:43.420+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Regular.9bd6fd3f.woff2,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,13964,,,-1,0,-1,-1,0,183,-1,151.101.18.133,,184,
9,,2019-10-09T16:08:43.509+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Bold.0ac670c8.woff2,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,14636,,,-1,0,-1,-1,0,219,-1,151.101.18.133,,221,
10,,2019-10-09T16:08:44.170+03:00,GET,https://oil.axelspringer.com/release/1.2.2/1.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,2384,,,923,6,0,157,0,117,892,52.48.166.214,,1205,
11,,2019-10-09T16:08:44.172+03:00,GET,https://oil.axelspringer.com/release/1.2.2/0.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,11657,,,925,62,0,156,0,114,898,52.48.166.214,,1260,
