,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T07:58:40.575+03:00,GET,https://www.flixster.com/,HTTP/1.1,1296,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,921,22851,,,-1,2,-1,0,-1,-1,132,23.198.28.168,,136,,
1,,2019-10-12T07:58:40.787+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,1230,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,977,6862,,,-1,0,-1,0,-1,-1,113,23.198.28.168,,114,,
2,,2019-10-12T07:58:40.788+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,1221,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1132,24399,,,-1,7,-1,0,-1,-1,134,23.198.28.168,,142,,
3,,2019-10-12T07:58:40.907+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,1337,0,,304,Not Modified,HTTP/1.1,0,application/font-woff2,,,530,0,,,-1,0,-1,0,-1,-1,91,23.198.28.168,,92,,
4,,2019-10-12T07:58:40.935+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,1338,0,,304,Not Modified,HTTP/1.1,0,application/font-woff2,,,530,0,,,-1,0,-1,0,-1,-1,101,23.198.28.168,,102,,
5,,2019-10-12T07:58:41.042+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,1324,0,,304,Not Modified,HTTP/1.1,0,image/svg+xml,,,522,0,,,-1,0,-1,0,-1,-1,110,23.198.28.168,,111,,
6,,2019-10-12T07:58:43.523+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,1224,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1134,348718,,,-1,163,-1,0,-1,-1,117,23.198.28.168,,282,,
7,,2019-10-12T07:58:44.508+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,1325,0,,304,Not Modified,HTTP/1.1,0,image/svg+xml,,,522,0,,,-1,0,-1,0,-1,-1,112,23.198.28.168,,113,,
8,,2019-10-12T07:58:44.807+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,1225,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,983,738,,,-1,0,-1,0,-1,-1,111,23.198.28.168,,112,,
9,,2019-10-12T07:58:46.530+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,1222,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1130,4918,,,-1,0,-1,2,-1,-1,103,23.198.28.168,,106,,
10,,2019-10-12T07:58:46.649+03:00,POST,https://conductor.clicktale.net/monitor?t=preinit&p=223&2=1962754808237045&v=1.5.5&7=https%3A%2F%2Fwww.flixster.com%2F&3=1124924231272561&4=837597005377227&5=0,HTTP/1.1,570,0,,200,OK,HTTP/1.1,0,text/plain,,,255,1,,,9445,0,0,0,89,9422,164,52.200.89.180,,9700,value,
11,,2019-10-12T07:58:46.664+03:00,POST,https://conductor.clicktale.net/monitor?t=end&p=223&2=1962754808237045&v=1.5.5&12=32906&13=46&98=1570856320726&23=true&33=65740203201725336030813621052519873089&3=1124924231272561&4=837597005377227&5=1,HTTP/1.1,612,0,,200,OK,HTTP/1.1,0,text/plain,,,255,1,,,5958,0,0,0,0,5928,160,52.200.89.180,,6120,value,
12,,2019-10-12T07:58:47.271+03:00,GET,https://assets.adobedtm.com/launch-EN93d99d56746548679c2c9d24f8bc7671.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,439,46011,,,-1,34,-1,0,-1,-1,61,212.55.188.52,,95,,
13,,2019-10-12T07:58:47.273+03:00,GET,https://cdnssl.clicktale.net/www12/ptc/6cdf825f-4a87-4264-be5e-0d21df7f29c5.js,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,306,11552,,,-1,0,-1,0,-1,-1,1244,23.64.129.214,,1245,,
14,,2019-10-12T07:58:47.274+03:00,GET,https://sb.scorecardresearch.com/beacon.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,283,902,,,-1,0,-1,0,-1,-1,102,104.98.134.223,,103,,
15,,2019-10-12T07:58:47.474+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/TheatersPage.js,HTTP/1.1,1229,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,986,11942,,,-1,0,-1,0,-1,-1,134,23.198.28.168,,135,,
16,,2019-10-12T07:58:47.474+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/AtHomePage.js,HTTP/1.1,1227,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,986,13244,,,-1,0,-1,0,-1,-1,179,23.198.28.168,,180,,
17,,2019-10-12T07:58:47.475+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/NewsPage.js,HTTP/1.1,1225,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,985,2035,,,-1,0,-1,0,-1,-1,125,23.198.28.168,,126,,
18,,2019-10-12T07:58:47.476+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/LocationPage.js,HTTP/1.1,1229,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,985,7724,,,-1,0,-1,0,-1,-1,158,23.198.28.168,,159,,
19,,2019-10-12T07:58:47.478+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/MoviePage.js,HTTP/1.1,1226,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1132,33607,,,-1,11,-1,0,-1,-1,146,23.198.28.168,,159,,
