,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:30:50.061+03:00,GET,https://www.reverbnation.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1075,25724,,,556,96,3,2349,2381,0,10,52.52.116.70,,3048,
1,,2019-10-11T17:30:51.795+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/v3/main.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,491,1475,,,106,30,1,1056,1094,0,49,93.184.220.20,,1283,
2,,2019-10-11T17:30:51.796+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_required-datauri.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,493,16434,,,114,30,1,1057,1097,0,1159,93.184.220.20,,2403,
3,,2019-10-11T17:30:51.798+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/zurb_foundation-datauri.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,493,32784,,,113,32,0,1060,1098,0,248,93.184.220.20,,1493,
4,,2019-10-11T17:30:51.805+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_foundation-datauri.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,493,73760,,,107,30,0,1076,1107,0,486,93.184.220.20,,1732,
5,,2019-10-11T17:30:51.810+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/rn_foundation/modules/marketing.css,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css,,,493,24784,,,101,29,1,1072,1112,0,149,93.184.220.20,,1393,
6,,2019-10-11T17:30:51.819+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v3_common.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/javascript,,,508,212381,,,92,29,0,1082,1120,0,1247,93.184.220.20,,2490,
7,,2019-10-11T17:30:51.956+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/music_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,9419,,,86,-1,0,-1,-1,-1,663,93.184.220.20,,750,
8,,2019-10-11T17:30:52.068+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/video_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,503,629,,,84,-1,0,-1,-1,-1,0,93.184.220.20,,85,
9,,2019-10-11T17:30:52.157+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/http_public_production/homepage_tiles/images/575/original/resize:800x400/crop:x0y0w800h400/hash:1570640008/disc-final-photo.jpg?1570640008,HTTP/1.1,534,0,,200,OK,HTTP/1.1,0,image/jpeg,,,356,9856,,,86,-1,0,-1,-1,-1,833,93.184.220.20,,920,value
