,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:32:34.135+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,2,4554,223,740,4591,16,0,104.154.63.26,,5574,
1,,2019-10-11T17:32:34.422+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,1,-1,200,-1,-1,0,-1,104.154.63.26,,202,
2,,2019-10-11T17:32:34.631+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,0,-1,295,-1,-1,0,-1,104.154.63.26,,297,
3,,2019-10-11T17:32:35.012+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,1,545,234,0,576,0,0,104.154.63.26,,813,
4,,2019-10-11T17:32:37.119+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,20,2632,116,23,2659,2,0,172.217.23.138,,2821,value
5,,2019-10-11T17:32:37.119+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,22,2641,117,34,2660,0,0,172.217.23.138,,2835,value
6,,2019-10-11T17:32:37.143+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,41,2642,115,32,2661,0,0,172.217.23.138,,2851,value
7,,2019-10-11T17:32:37.229+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,33576,,,0,2734,91,31,2762,75,0,216.58.206.10,,2962,
8,,2019-10-11T17:32:37.454+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,0,-1,108,-1,-1,1,-1,172.217.23.138,,110,value
9,,2019-10-11T17:32:40.797+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,517,20724,,,2,3250,99,0,3285,52,0,172.217.16.131,,3440,
10,,2019-10-11T17:32:40.801+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20808,,,29,3251,84,0,3283,60,0,172.217.16.131,,3458,
11,,2019-10-11T17:32:40.801+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20872,,,13,3260,85,0,3286,59,0,172.217.16.131,,3445,
12,,2019-10-11T17:32:44.360+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,0,6872,123,0,6905,58,0,216.58.207.72,,7089,value
