,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T17:34:39.143+03:00,GET,https://www.pointerpointer.com/,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,text/html,,,271,3819,,,2043,7,0,111,2,117,2002,188.166.32.155,,2282,,
1,,2019-10-11T17:34:39.302+03:00,GET,https://www.pointerpointer.com/js/load-min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,759,,,-1,2,-1,-1,1,107,-1,188.166.32.155,,111,,
2,,2019-10-11T17:34:39.426+03:00,GET,https://www.pointerpointer.com/reset.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,269,868,,,-1,1,-1,-1,3,108,-1,188.166.32.155,,113,,
3,,2019-10-11T17:34:39.546+03:00,GET,https://www.pointerpointer.com/js/functions.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,251,,,-1,1,-1,-1,0,98,-1,188.166.32.155,,100,,
4,,2019-10-11T17:34:39.663+03:00,GET,https://www.pointerpointer.com/js/Bootstrap.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1462,,,-1,1,-1,-1,2,104,-1,188.166.32.155,,108,,
5,,2019-10-11T17:34:39.669+03:00,GET,https://www.pointerpointer.com/js/Stats.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1771,,,306,1,0,0,2,97,270,188.166.32.155,,407,,
6,,2019-10-11T17:34:41.313+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,1604,29,0,22,1,106,1568,216.58.207.72,,1763,,
7,,2019-10-11T17:34:41.487+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=934308588&utmhn=www.pointerpointer.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Pointer%20Pointer&utmhid=424308503&utmr=-&utmp=%2F&utmht=1570804481479&utmac=UA-32525606-1&utmcc=__utma%3D145998261.973773566.1570804481.1570804481.1570804481.1%3B%2B__utmz%3D145998261.1570804481.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1488230385&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,872,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,-1,-1,0,99,-1,216.58.207.72,,101,value,
8,,2019-10-11T17:34:41.726+03:00,GET,https://code.jquery.com/jquery-1.4.4.min.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,484,27078,,,2020,36,0,35,0,93,1989,209.197.3.24,,2186,,
9,,2019-10-11T17:34:41.881+03:00,GET,https://www.pointerpointer.com/js/Grid.js,HTTP/1.1,577,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,445,,,-1,0,-1,-1,2,103,-1,188.166.32.155,,107,,
