,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T14:52:34.534+03:00,GET,https://snes.party/,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,134,333,2,1453,1513,16,0,45.63.119.229,,2001,,
1,,2019-10-12T14:52:34.736+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,337,511765,,,198,-1,1,-1,-1,338,-1,45.63.119.229,,538,,
2,,2019-10-12T14:52:34.924+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,351,995512,,,180,0,1,154,189,488,0,45.63.119.229,,859,,
3,,2019-10-12T14:52:38.611+03:00,GET,https://fonts.googleapis.com/css?family=Pacifico,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,416,,,108,0,0,3264,3313,6,0,216.58.207.42,,3429,value,
4,,2019-10-12T14:52:38.611+03:00,GET,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic&subset=latin",HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,423,,,106,0,0,3840,3875,7,0,216.58.207.42,,3990,value,
5,,2019-10-12T14:52:40.523+03:00,OPTIONS,https://new.engine.snes.party/,HTTP/1.1,439,0,,204,No Content,HTTP/1.1,0,,,,526,0,,,118,225,0,1345,1382,0,0,165.22.204.53,,1727,,
6,,2019-10-12T14:52:40.646+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,355,,,92,-1,0,-1,-1,0,-1,165.22.204.53,,93,,
7,,2019-10-12T14:52:41.090+03:00,GET,https://new.engine.snes.party/websocket?token=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJrb3NtaSIsImV4cCI6MTU3MzMwMTQwNiwiaWF0IjoxNTcwODgyMjA2LCJpc3MiOiJrb3NtaSIsImp0aSI6IjRmNGRlMGNlLTdiNDMtNDlhYy1iOTc1LWNlZWMzODY3ODcwNiIsIm5iZiI6MTU3MDg4MjIwNSwic3ViIjoiZDA1NTAwNjEtMGJlNC00NDk3LWJiMTAtMTQxNWJiY2Y5MWY0IiwidHlwIjoiYWNjZXNzIn0.MrDPzLgrTTX8rFE2GVf1jNqdUMvWVt2hU18dVp1HDdtyvqaFR5SJ1KfApIZElT_oprmOXb1j8pkRR8lzZ4GZcw&vsn=2.0.0,HTTP/1.1,872,0,,426,Upgrade Required,HTTP/1.1,0,,,,122,0,,,106,0,0,281,310,0,0,165.22.204.53,,418,value,
8,,2019-10-12T14:52:41.207+03:00,GET,https://snes.party/,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,114,-1,0,-1,-1,0,-1,45.63.119.229,,115,,
9,,2019-10-12T14:52:41.337+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,464,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,113,-1,0,-1,-1,0,-1,45.63.119.229,,114,,
10,,2019-10-12T14:52:42.201+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,448,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,129,-1,0,-1,-1,0,-1,45.63.119.229,,130,,
11,,2019-10-12T14:52:42.394+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,356,,,105,-1,0,-1,-1,0,-1,165.22.204.53,,106,,
12,,2019-10-12T14:52:42.430+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,23484,,,89,0,1,1431,1462,57,0,172.217.21.227,,1610,,
13,,2019-10-12T14:52:42.529+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6u9w4BMUTPHh6UVSwiPGQ.woff2,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,22992,,,88,28,1,3274,3301,55,0,172.217.21.227,,3474,,
14,,2019-10-12T14:52:42.531+03:00,GET,https://fonts.gstatic.com/s/pacifico/v16/FwZY7-Qmy14u9lezJ-6H6Mk.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,30928,,,86,0,0,1433,1463,76,0,172.217.21.227,,1627,,
