,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T15:07:00.568+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,430,2122,,,0,1927,21,130,2,125,1888,142.93.108.123,,2207,
1,,2019-10-12T15:07:00.757+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,-1,-1,3,-1,2,114,-1,142.93.108.123,,120,
2,,2019-10-12T15:07:00.876+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,450,1246,,,-1,-1,1,-1,1,105,-1,142.93.108.123,,108,value
3,,2019-10-12T15:07:00.938+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,448,127,,,0,188,0,0,0,107,156,142.93.108.123,,297,
4,,2019-10-12T15:07:03.001+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,0,2242,2,0,1,117,2212,216.58.207.42,,2364,value
5,,2019-10-12T15:07:03.016+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,0,2254,2,0,1,104,2225,216.58.207.42,,2362,value
6,,2019-10-12T15:07:04.528+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36815,,,0,3771,102,1,1,116,3740,172.217.21.194,,3993,
7,,2019-10-12T15:07:04.825+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,80,-1,4,111,-1,172.217.21.194,,195,
8,,2019-10-12T15:07:08.424+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,5230,32,37,0,80,5211,216.58.207.72,,5381,
9,,2019-10-12T15:07:08.627+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=370634389&utmhn=theuselessweb.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=The%20Useless%20Web&utmhid=856402192&utmr=-&utmp=%2F&utmht=1570882028613&utmac=UA-35944549-1&utmcc=__utma%3D17164284.905605211.1570882025.1570882025.1570882025.1%3B%2B__utmz%3D17164284.1570882029.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=884799896&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAQAAAAE~,HTTP/1.1,861,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,-1,0,98,-1,216.58.207.72,,99,value
