,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
0,,2019-10-12T15:46:20.356+03:00,GET,https://www.linkedin.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2427,8555,,,2,2105,286,1,0,2157,30,108.174.11.81,,2479,
1,,2019-10-12T15:46:22.722+03:00,GET,https://static-exp1.licdn.com/sc/h/3j6zm0c1mstkwjrb91ltlxbh5,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,767,14780,,,0,1939,635,41,0,1968,1,212.55.190.51,,2648,
2,,2019-10-12T15:46:22.722+03:00,GET,https://static-exp1.licdn.com/sc/h/eziq3qqkuwxrtru4bng5hejve,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,774,22839,,,0,1951,215,39,0,1981,31,212.55.190.51,,2267,
3,,2019-10-12T15:46:22.737+03:00,GET,https://static-exp1.licdn.com/sc/h/ddho7et5nifmzos8a28j4jg6j,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,804,13167,,,0,1962,802,38,0,1991,1,212.55.190.51,,2834,
4,,2019-10-12T15:46:23.392+03:00,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,349,,,0,-1,93,-1,-1,-1,0,212.55.190.51,,94,
5,,2019-10-12T15:46:23.572+03:00,GET,https://static-exp1.licdn.com/sc/h/1fyj4hwfi29ai78rqj069u65r,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,-1,0,212.55.190.51,,0,No response received
6,,2019-10-12T15:46:23.574+03:00,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,202,,,0,-1,49,-1,-1,-1,0,212.55.190.51,,50,
7,,2019-10-12T15:46:23.575+03:00,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,315,,,0,-1,51,-1,-1,-1,0,212.55.190.51,,52,
8,,2019-10-12T15:46:23.604+03:00,GET,https://www.linkedin.com/litms/api/metadata/user,HTTP/1.1,669,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,-1,0,108.174.11.81,,0,No response received
9,,2019-10-12T15:46:23.628+03:00,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,HTTP/1.1,413,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,-1,0,212.55.190.51,,0,No response received
