,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-09-28T19:00:55.584+03:00,GET,https://www.incredibox.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,225,27277,,,192,365,2,1451,13,1553,0,163.172.54.44,,2128,
1,,2019-09-28T19:00:55.858+03:00,GET,https://www.incredibox.com/css/style.min.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,311,13111,,,90,-1,2,-1,0,-1,-1,163.172.54.44,,94,
2,,2019-09-28T19:00:55.959+03:00,GET,https://www.incredibox.com/img/home-mockup-aasl.jpg,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,108304,,,91,-1,1,-1,364,-1,-1,163.172.54.44,,457,
3,,2019-09-28T19:00:56.425+03:00,GET,https://www.incredibox.com/js/libs/jquery.min.js,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,application/javascript,,,325,33225,,,114,-1,0,-1,6,-1,-1,163.172.54.44,,121,
4,,2019-09-28T19:00:56.555+03:00,GET,https://www.incredibox.com/js/site.min.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,325,22493,,,103,-1,0,-1,3,-1,-1,163.172.54.44,,107,
5,,2019-09-28T19:00:57.444+03:00,GET,https://www.googletagmanager.com/gtag/js?id=UA-10301455-3,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,597,27154,,,94,15,1,1491,242,1561,0,216.58.206.8,,1915,value
6,,2019-09-28T19:00:59.044+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,text/css,,,663,1055,,,91,26,1,3060,3,3144,0,104.19.197.151,,3267,
7,,2019-09-28T19:00:59.046+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,6531,,,100,26,1,3066,4,3148,0,104.19.197.151,,3281,
8,,2019-09-28T19:00:59.201+03:00,GET,https://www.incredibox.com/img/menu-logo.svg,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,262,4941,,,84,-1,0,-1,0,-1,-1,163.172.54.44,,85,
9,,2019-09-28T19:00:59.205+03:00,GET,https://www.incredibox.com/img/home-header2.jpg,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,169169,,,236,0,1,94,906,179,0,163.172.54.44,,1324,
10,,2019-09-28T19:00:59.290+03:00,GET,https://www.incredibox.com/img/home-logo.png,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/png,,,259,42647,,,189,-1,0,-1,97,-1,-1,163.172.54.44,,287,
11,,2019-09-28T19:00:59.455+03:00,GET,https://www.incredibox.com/font/raleway-regular-webfont.woff,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,32476,,,203,0,1,144,124,241,0,163.172.54.44,,569,
12,,2019-09-28T19:00:59.461+03:00,GET,https://www.incredibox.com/font/raleway-semibold-webfont.woff,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,31612,,,207,0,1,142,117,239,0,163.172.54.44,,565,
13,,2019-09-28T19:00:59.470+03:00,GET,https://www.incredibox.com/img/home-teaser-artwork.jpg,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,148604,,,201,0,1,160,574,256,0,163.172.54.44,,1033,
14,,2019-09-28T19:00:59.472+03:00,GET,https://www.incredibox.com/font/raleway-bold-webfont.woff,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,32628,,,209,0,0,161,130,256,0,163.172.54.44,,597,
15,,2019-09-28T19:00:59.584+03:00,GET,https://www.incredibox.com/img/home-aasl.png,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/png,,,258,8327,,,104,-1,0,-1,0,-1,-1,163.172.54.44,,105,
16,,2019-09-28T19:00:59.695+03:00,GET,https://www.incredibox.com/img/home-v5-artwork1.jpg,HTTP/1.1,424,0,,200,OK,HTTP/1.1,0,image/jpeg,,,260,60844,,,124,-1,0,-1,109,-1,-1,163.172.54.44,,234,
17,,2019-09-28T19:00:59.797+03:00,GET,https://www.incredibox.com/img/home-tv-press.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,260,30764,,,251,-1,0,-1,5,-1,-1,163.172.54.44,,257,
18,,2019-09-28T19:00:59.800+03:00,GET,https://www.incredibox.com/img/home-press-logos.jpg,HTTP/1.1,424,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,115446,,,103,-1,0,-1,549,-1,-1,163.172.54.44,,652,
19,,2019-09-28T19:00:59.851+03:00,GET,https://www.incredibox.com/img/home-awards.png,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,image/png,,,259,29038,,,128,-1,1,-1,434,-1,-1,163.172.54.44,,563,
20,,2019-09-28T19:00:59.943+03:00,GET,https://www.incredibox.com/img/bt-store.png,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,image/png,,,259,16730,,,394,-1,0,-1,0,-1,-1,163.172.54.44,,395,
21,,2019-09-28T19:01:04.062+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1779,,,93,22,1,4744,2,4841,0,157.240.1.23,,4960,
22,,2019-09-28T19:01:04.415+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,17803,,,64,0,1,6525,72,6595,0,172.217.23.142,,6734,
23,,2019-09-28T19:01:04.529+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=4ee19fbc8ec01ac47d3682b02f7e06bf&ua=modern_es6,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,59106,,,95,0,1,234,325,328,0,157.240.1.23,,751,value
24,,2019-09-28T19:01:04.606+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=878752745&t=pageview&_s=1&dl=https%3A%2F%2Fwww.incredibox.com%2F&ul=en-us&de=UTF-8&dt=Incredibox&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAUAB~&jid=1041626544&gjid=128828956&cid=478705568.1569686465&tid=UA-10301455-3&_gid=1548719420.1569686465&_r=1&gtm=2ou9i1&z=1699814143,HTTP/1.1,686,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-10301455-3&cid=478705568.1569686465&jid=1041626544&_gid=1548719420.1569686465&gjid=128828956&_v=j79&z=1699814143,618,418,,,75,-1,1,-1,0,-1,-1,172.217.23.142,,77,value
25,,2019-09-28T19:01:10.228+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-10301455-3&cid=478705568.1569686465&jid=1041626544&_gid=1548719420.1569686465&gjid=128828956&_v=j79&z=1699814143,HTTP/1.1,536,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=478705568.1569686465&jid=1041626544&_v=j79&z=1699814143,647,366,,,111,56,16,5396,0,5476,0,74.125.133.156,,5662,value
26,,2019-09-28T19:01:11.135+03:00,GET,https://www.youtube.com/iframe_api,HTTP/1.1,353,0,,200,OK,HTTP/1.1,0,application/javascript,,,367,859,,,411,16,1,11506,0,11620,0,172.217.18.110,,12049,
27,,2019-09-28T19:01:11.193+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,535,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,516,11818,,,460,31,1,6025,15,6115,0,157.240.1.23,,6624,value
28,,2019-09-28T19:01:13.263+03:00,GET,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflDuDH0c/www-widgetapi.js,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,text/javascript,,,538,8703,,,65,17,0,1591,15,1663,0,172.217.16.206,,1762,
29,,2019-09-28T19:01:13.386+03:00,GET,https://www.youtube.com/embed/eMdLqaeWP-k?enablejsapi=1&origin=https%3A%2F%2Fwww.incredibox.com&widgetid=1,HTTP/1.1,578,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1051,20324,,,207,-1,1,-1,79,-1,-1,172.217.18.110,,288,value
30,,2019-09-28T19:01:13.681+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflV1UhZ6.css,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/css,,,536,55365,,,78,-1,0,-1,270,-1,-1,172.217.18.110,,349,
31,,2019-09-28T19:01:13.810+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl8wtqBF/www-embed-player.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,539,38828,,,360,0,1,98,192,172,0,172.217.18.110,,727,
32,,2019-09-28T19:01:14.034+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vfl-Yp-48/en_US/base.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,388912,,,664,-1,0,-1,670,-1,-1,172.217.18.110,,1335,
33,,2019-09-28T19:01:15.593+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vfl-Yp-48/en_US/remote.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,text/javascript,,,539,29942,,,64,-1,0,-1,21,-1,-1,172.217.18.110,,86,
34,,2019-09-28T19:01:17.931+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/javascript,,,486,29,,,82,53,2,2280,0,2369,0,172.217.22.6,,2507,
35,,2019-09-28T19:01:18.469+03:00,GET,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=478705568.1569686465&jid=1041626544&_v=j79&z=1699814143,HTTP/1.1,492,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=478705568.1569686465&jid=1041626544&_v=j79&z=1699814143&slf_rd=1&random=3677840522,715,0,,,98,0,0,2864,0,2961,0,172.217.16.196,,3061,value
36,,2019-09-28T19:01:18.501+03:00,GET,https://www.google.com/js/bg/gLlywAFKraN8jmHUSBHGbDr5JQlW0Plaa0oQTVtTOao.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5299,,,69,1,1,5062,2,8132,0,172.217.16.196,,8206,
37,,2019-09-28T19:01:18.685+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,473,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1033,0,,,376,0,0,3086,0,3182,0,172.217.23.130,,3561,
38,,2019-09-28T19:01:18.859+03:00,GET,https://www.youtube.com/generate_204?rI2NzA,HTTP/1.1,560,0,,204,No Content,HTTP/1.1,0,,,,184,0,,,70,-1,0,-1,0,-1,-1,172.217.18.110,,71,value
39,,2019-09-28T19:01:19.067+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,522,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1201,133,,,92,-1,0,-1,1,-1,-1,172.217.23.130,,94,value
40,,2019-09-28T19:01:19.846+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,497,0,,200,OK,HTTP/1.1,0,font/woff2,,,493,15552,,,81,0,0,4014,272,4111,0,172.217.22.99,,4466,
41,,2019-09-28T19:01:20.205+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,font/woff2,,,493,15344,,,65,-1,0,-1,39,-1,-1,172.217.22.99,,105,
42,,2019-09-28T19:01:21.151+03:00,GET,https://i.ytimg.com/vi/eMdLqaeWP-k/maxresdefault.jpg,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,image/jpeg,,,429,111026,,,112,24,0,2218,560,5424,0,216.58.208.54,,6122,
43,,2019-09-28T19:01:21.461+03:00,GET,https://yt3.ggpht.com/-sfbG8ukMi74/AAAAAAAAAAI/AAAAAAAAAAA/VBusKjuvOHY/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,541,0,,200,OK,HTTP/1.1,0,image/jpeg,,,548,2154,,,74,27,0,2899,2,2970,0,172.217.16.161,,3075,
44,,2019-09-28T19:01:21.711+03:00,GET,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=478705568.1569686465&jid=1041626544&_v=j79&z=1699814143&slf_rd=1&random=3677840522,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,image/gif,,,520,42,,,107,19,0,3006,0,3112,0,172.217.16.195,,3240,value
