,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.receive,timings.connect,timings.blocked,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T18:24:14.611+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,441,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/?__r=1.b11212b18138b075955ed8c2e8eac915,411,116,,,150,11,15,53,0,3,-1,213.186.33.107,,234,,
1,,2019-10-08T18:24:14.873+03:00,GET,http://orteil.dashnet.org/cookieclicker/?__r=1.b11212b18138b075955ed8c2e8eac915,HTTP/1.1,480,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/,445,116,,,178,1,2,33,0,4,-1,213.186.33.107,,220,value,
2,,2019-10-08T18:24:15.107+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,text/html,,,351,3926,,,143,6,7,-1,-1,-1,-1,213.186.33.107,,157,,
3,,2019-10-08T18:24:15.309+03:00,GET,http://orteil.dashnet.org/cookieclicker/showads.js,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,application/javascript,,,480,198,,,112,0,2,-1,-1,-1,-1,213.186.33.107,,114,,
4,,2019-10-08T18:24:15.310+03:00,GET,http://orteil.dashnet.org/cookieclicker/base64.js,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/javascript,,,479,931,,,110,0,2,-1,-1,-1,-1,213.186.33.107,,113,,
5,,2019-10-08T18:24:15.316+03:00,GET,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,535,36822,,,159,1,97,34,0,1,-1,172.217.22.2,,292,,
6,,2019-10-08T18:24:15.317+03:00,GET,http://orteil.dashnet.org/cookieclicker/main.js?v=2.06,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,application/javascript,,,484,197309,,,139,1,266,34,0,0,-1,213.186.33.107,,441,value,
7,,2019-10-08T18:24:15.318+03:00,GET,http://orteil.dashnet.org/cookieclicker/style.css?v=2.050,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/css,,,469,12239,,,135,1,1,32,0,0,-1,213.186.33.107,,171,value,
8,,2019-10-08T18:24:17.259+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,1726,,,156,1,0,1903,0,37,1859,104.19.198.151,,2100,,
9,,2019-10-08T18:24:17.705+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,106,0,77,2357,0,0,2307,172.217.22.2,,2542,,
10,,2019-10-08T18:24:18.424+03:00,GET,"https://fonts.googleapis.com/css?family=Merriweather:900&subset=latin,latin-ext",HTTP/1.1,426,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,431,,,115,0,1,3069,0,40,3026,216.58.207.42,,3228,value,
11,,2019-10-08T18:24:18.618+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/darkNoise.jpg,HTTP/1.1,488,0,,200,OK,HTTP/1.1,0,image/jpeg,,,428,9906,,,374,0,1021,-1,-1,-1,-1,213.186.33.107,,1396,,
12,,2019-10-08T18:24:18.619+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/jpeg,,,429,2226,,,363,0,0,-1,-1,-1,-1,213.186.33.107,,365,,
13,,2019-10-08T18:24:18.619+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/discord.png,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,image/png,,,421,2357,,,111,0,0,-1,-1,-1,-1,213.186.33.107,,112,,
14,,2019-10-08T18:24:18.622+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/weeHoodie.png,HTTP/1.1,471,0,,200,OK,HTTP/1.1,0,image/png,,,422,2651,,,122,0,0,-1,-1,-1,-1,213.186.33.107,,123,,
15,,2019-10-08T18:24:18.625+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/patreon.png,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,image/png,,,422,2413,,,141,0,1,27,0,0,-1,213.186.33.107,,170,,
16,,2019-10-08T18:24:18.626+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/shadedBorders.png,HTTP/1.1,492,0,,200,OK,HTTP/1.1,0,image/png,,,423,12180,,,142,0,3,27,0,0,-1,213.186.33.107,,173,,
17,,2019-10-08T18:24:18.735+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/prestigeBar.jpg,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,633,,,148,0,0,-1,-1,-1,-1,213.186.33.107,,149,,
18,,2019-10-08T18:24:18.749+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/empty.png,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,image/png,,,420,95,,,132,0,0,-1,-1,-1,-1,213.186.33.107,,133,,
19,,2019-10-08T18:24:18.754+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,111,0,120,-1,-1,-1,-1,172.217.22.2,,232,,
20,,2019-10-08T18:24:18.805+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelVertical.png?v=2,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,422,7206,,,104,0,8,-1,-1,-1,-1,213.186.33.107,,112,value,
21,,2019-10-08T18:24:18.805+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelHorizontal.png?v=2,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,image/png,,,422,6718,,,101,0,11,-1,-1,-1,-1,213.186.33.107,,113,value,
22,,2019-10-08T18:24:18.887+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientRight.png,HTTP/1.1,497,0,,200,OK,HTTP/1.1,0,image/png,,,422,1003,,,104,0,0,-1,-1,-1,-1,213.186.33.107,,105,,
23,,2019-10-08T18:24:18.890+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/blackGradient.png,HTTP/1.1,492,0,,200,OK,HTTP/1.1,0,image/png,,,420,561,,,102,0,0,-1,-1,-1,-1,213.186.33.107,,102,,
24,,2019-10-08T18:24:18.926+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientBottom.png,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,image/png,,,422,1004,,,109,0,0,-1,-1,-1,-1,213.186.33.107,,109,,
25,,2019-10-08T18:24:18.927+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientTop.png,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,image/png,,,421,1012,,,107,0,0,-1,-1,-1,-1,213.186.33.107,,108,,
26,,2019-10-08T18:24:18.991+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelMenu3.png,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,image/png,,,423,50357,,,114,0,100,-1,-1,-1,-1,213.186.33.107,,214,,
27,,2019-10-08T18:24:19.000+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/spinnySmall.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,420,2812,,,107,0,0,-1,-1,-1,-1,213.186.33.107,,108,,
28,,2019-10-08T18:24:19.000+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/spinnyBig.png,HTTP/1.1,488,0,,200,OK,HTTP/1.1,0,image/png,,,420,5400,,,106,0,1,-1,-1,-1,-1,213.186.33.107,,107,,
29,,2019-10-08T18:24:19.009+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,125,0,133,135,0,0,107,172.217.22.2,,395,,
30,,2019-10-08T18:24:19.043+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientLeft.png,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,421,1003,,,103,0,0,-1,-1,-1,-1,213.186.33.107,,103,,
31,,2019-10-08T18:24:19.043+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/prestigeBarCap.png,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,image/png,,,420,974,,,103,0,0,-1,-1,-1,-1,213.186.33.107,,104,,
32,,2019-10-08T18:24:19.119+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/blackGradientSmallTop.png,HTTP/1.1,500,0,,200,OK,HTTP/1.1,0,image/png,,,421,971,,,106,0,0,-1,-1,-1,-1,213.186.33.107,,106,,
33,,2019-10-08T18:24:19.126+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/goldCookie.png,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,image/png,,,419,4099,,,113,0,0,-1,-1,-1,-1,213.186.33.107,,114,,
34,,2019-10-08T18:24:19.154+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/sparkles.jpg,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,image/jpeg,,,428,12474,,,356,0,1,-1,-1,-1,-1,213.186.33.107,,358,,
35,,2019-10-08T18:24:19.157+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/frameBorder.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,421,1002,,,106,0,0,-1,-1,-1,-1,213.186.33.107,,107,,
36,,2019-10-08T18:24:19.304+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/shadedBordersSoft.png,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,422,3483,,,117,0,7,-1,-1,-1,-1,213.186.33.107,,124,,
37,,2019-10-08T18:24:19.307+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/roundedPanelBGS.png,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/png,,,422,21480,,,111,0,67,-1,-1,-1,-1,213.186.33.107,,179,,
38,,2019-10-08T18:24:19.310+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/aqworldsbanner.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,428,7435,,,360,0,406,-1,-1,-1,-1,213.186.33.107,,768,,
39,,2019-10-08T18:24:20.648+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=orteil.dashnet.org,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,102,0,1,1893,0,0,1851,172.217.22.2,,1998,value,
40,,2019-10-08T18:24:21.559+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29127,,,132,0,58,2156,0,2,2131,172.217.23.98,,2350,value,
41,,2019-10-08T18:24:22.149+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=orteil.dashnet.org,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,110,0,0,3345,0,51,3315,172.217.23.98,,3509,value,
42,,2019-10-08T18:24:22.449+03:00,GET,https://fonts.gstatic.com/s/merriweather/v21/u-4n0qyriQwlOrhSvowK_l52_wFZWMf6.woff2,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,19056,,,87,0,49,3652,0,0,3614,172.217.16.131,,3790,,
43,,2019-10-08T18:24:23.855+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,90,1,11,4453,0,0,4425,172.217.22.2,,4556,,
44,,2019-10-08T18:24:23.857+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&adk=1812271804&adf=3025194257&lmt=1570548259&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&ea=0&flash=0&pra=5&wgl=1&dt=1570548258748&bpp=20&bdt=3469&fdt=583&idt=583&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&nras=1&correlator=8131326166870&frm=20&pv=2&ga_vid=155454160.1570548259&ga_sid=1570548259&ga_hid=1689828982&ga_fc=0&iag=0&icsg=65194&dssz=13&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=800&bih=600&scr_x=0&scr_y=0&oid=3&pvsid=2724283940519888&pem=690&rx=0&eae=2&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=23&ifi=0&uci=0.oextz0hdlx6k&dtd=618,HTTP/1.1,1377,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,928,44,,,145,1,0,4457,0,0,4431,172.217.22.2,,4605,value,
45,,2019-10-08T18:24:23.866+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&h=250&slotname=7077525342&adk=3858836500&adf=1948056654&w=300&fwrn=4&fwrnh=100&lmt=1570548259&rafmt=3&guci=2.2.0.0.2.2.0.0&format=300x250&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&flash=0&fwr=0&fwrattr=true&rw=300&rpe=1&resp_fmts=1&wgl=1&dt=1570548258768&bpp=15&bdt=3489&fdt=610&idt=610&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=0x0&nras=1&correlator=8131326166870&frm=20&pv=1&ga_vid=155454160.1570548259&ga_sid=1570548259&ga_hid=1689828982&ga_fc=0&iag=0&icsg=589482&dssz=14&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=483&ady=32&biw=800&bih=600&scr_x=0&scr_y=0&oid=3&pvsid=2724283940519888&pem=690&rx=0&eae=0&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=d%7C%7CaoeE%7C&abl=CA&pfx=0&fu=144&bc=23&ifi=1&uci=1.ei9atu2uhr5r&xpc=6oeYVQb6Zf&p=http%3A//orteil.dashnet.org&dtd=625,HTTP/1.1,1460,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,240,1,0,1726,0,0,1700,172.217.22.2,,1969,value,
