,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,441,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/,116,,,text/html,0,411,HTTP/1.1,http://orteil.dashnet.org/cookieclicker/?__r=1.4c9441c5ff154e253df5ba062a0662ad,307,Temporary Redirect,213.186.33.107,2019-10-10T19:10:43.679+03:00,306,0,,103,19,12,4,-1,166
1,,,0,,480,HTTP/1.1,GET,value,http://orteil.dashnet.org/cookieclicker/?__r=1.4c9441c5ff154e253df5ba062a0662ad,116,,,text/html,0,445,HTTP/1.1,http://orteil.dashnet.org/cookieclicker/,307,Temporary Redirect,213.186.33.107,2019-10-10T19:10:44.058+03:00,110,-1,,-1,-1,2,2,-1,105
2,,,0,,489,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/,3926,,,text/html,0,351,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:44.175+03:00,133,-1,,-1,-1,27,0,-1,105
3,,,0,,428,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/showads.js,198,,,application/javascript,0,480,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:44.347+03:00,101,-1,,-1,-1,11,0,-1,89
4,,,0,,427,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/base64.js,931,,,application/javascript,0,480,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:44.372+03:00,169,0,,88,5,0,4,-1,71
5,,,0,,450,HTTP/1.1,GET,value,http://orteil.dashnet.org/cookieclicker/style.css?v=2.050,12239,,,text/css,0,469,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:44.373+03:00,171,0,,81,5,9,1,-1,72
6,,,0,,432,HTTP/1.1,GET,value,http://orteil.dashnet.org/cookieclicker/main.js?v=2.06,197309,,,application/javascript,0,484,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:44.374+03:00,777,0,,81,9,601,3,-1,80
7,,,0,,379,HTTP/1.1,GET,,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,36826,,,text/javascript; charset=UTF-8,0,538,HTTP/1.1,,200,OK,216.58.210.34,2019-10-10T19:10:44.376+03:00,365,0,,91,4,111,1,-1,156
8,,,0,,426,HTTP/1.1,GET,value,"https://fonts.googleapis.com/css?family=Merriweather:900&subset=latin,latin-ext",431,,,text/css; charset=utf-8,0,657,HTTP/1.1,,200,OK,172.217.169.10,2019-10-10T19:10:46.946+03:00,2472,0,,2378,1,0,6,2281,85
9,,,0,,394,HTTP/1.1,GET,,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,36828,,,text/javascript; charset=UTF-8,0,894,HTTP/1.1,,200,OK,216.58.210.34,2019-10-10T19:10:46.950+03:00,2587,0,,2379,3,94,6,2280,104
10,,,0,,387,HTTP/1.1,GET,,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js,1726,,,application/javascript; charset=utf-8,0,692,HTTP/1.1,,200,OK,104.19.199.151,2019-10-10T19:10:46.955+03:00,2479,0,,2383,7,5,1,2300,81
11,,,0,,488,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/darkNoise.jpg,54212,,,image/jpeg,0,423,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.188+03:00,227,-1,,-1,-1,148,5,-1,73
12,,,0,,469,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/discord.png,2357,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.191+03:00,75,-1,,-1,-1,0,0,-1,74
13,,,0,,471,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/weeHoodie.png,2651,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.192+03:00,80,-1,,-1,-1,1,0,-1,78
14,,,0,,469,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/patreon.png,2413,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.193+03:00,147,0,,74,1,1,1,-1,68
15,,,0,,494,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg,8525,,,image/jpeg,0,422,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.195+03:00,74,-1,,-1,-1,1,0,-1,72
16,,,0,,492,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/shadedBorders.png,12180,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.203+03:00,146,0,,70,0,1,1,-1,72
17,,,0,,488,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/spinnyBig.png,5400,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.284+03:00,70,-1,,-1,-1,0,0,-1,69
18,,,0,,490,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/spinnySmall.png,2812,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.285+03:00,71,-1,,-1,-1,0,0,-1,70
19,,,0,,489,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/goldCookie.png,4099,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.289+03:00,82,-1,,-1,-1,1,0,-1,80
20,,,0,,484,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/empty.png,95,,,image/png,0,419,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.349+03:00,72,-1,,-1,-1,0,1,-1,70
21,,,0,,495,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/panelGradientTop.png,1012,,,image/png,0,420,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.383+03:00,69,-1,,-1,-1,0,0,-1,68
22,,,0,,493,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/prestigeBarCap.png,974,,,image/png,0,420,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.392+03:00,79,-1,,-1,-1,1,0,-1,77
23,,,0,,490,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/prestigeBar.jpg,2452,,,image/jpeg,0,422,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.393+03:00,74,-1,,-1,-1,0,0,-1,72
24,,,0,,498,HTTP/1.1,GET,value,http://orteil.dashnet.org/cookieclicker/img/panelHorizontal.png?v=2,6718,,,image/png,0,421,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.394+03:00,80,-1,,-1,-1,0,0,-1,78
25,,,0,,497,HTTP/1.1,GET,,http://orteil.dashnet.org/cookieclicker/img/panelGradientRight.png,1003,,,image/png,0,422,HTTP/1.1,,200,OK,213.186.33.107,2019-10-10T19:10:47.421+03:00,78,-1,,-1,-1,0,0,-1,77
