,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,469,HTTP/1.1,GET,https://www.musictheory.net/,5172,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:05.361+03:00,2792,0,,2296,247,8,8,2052,231
1,,,0,,421,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/ef51f262c6665067832a7a5fdb1c51a8f6b64248/site.css,46874,,,text/css,0,380,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:05.655+03:00,671,-1,,-1,-1,214,6,-1,450
2,,,0,,415,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/64b540326274576171837c950b3ac06a5ebc3851/preflight_site.js,1268,,,text/javascript,0,385,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.203+03:00,680,0,,469,0,0,2,261,207
3,,,0,,407,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/45cda7d2148382493ca3890f78f572f7cd3e77fb/shared.js,59691,,,text/javascript,0,387,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.210+03:00,1133,0,,490,0,211,2,269,427
4,,,0,,405,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/f0fac58ccf085cb585b95fce3ad8478d48836a95/site.js,26869,,,text/javascript,0,387,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.212+03:00,956,0,,504,0,6,1,283,444
5,,,0,,452,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/ba0bd192ebb1523a47959f7ab07ce1d58ada0984/home_ss_theory.png,46149,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.216+03:00,1125,0,,515,0,198,2,305,408
6,,,0,,452,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/77233ac2d129f5e1f7e9127fe2d56832ccf4ab1d/home_ss_tenuto.jpg,48828,,,image/jpeg,0,382,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.226+03:00,1145,0,,522,0,200,3,312,418
7,,,0,,428,HTTP/1.1,GET,https://www.musictheory.net/,0,,,,0,447,HTTP/1.1,,304,Not Modified,66.175.219.138,2019-10-10T19:59:06.967+03:00,214,-1,,-1,-1,0,0,-1,213
8,,,0,,353,HTTP/1.1,GET,https://www.musictheory.net/lessons,21847,,,text/html,0,507,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.968+03:00,215,-1,,-1,-1,1,1,-1,212
9,,,0,,355,HTTP/1.1,GET,https://www.musictheory.net/exercises,15981,,,text/html,0,507,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.970+03:00,211,-1,,-1,-1,0,0,-1,209
10,,,0,,354,HTTP/1.1,GET,https://www.musictheory.net/products,5850,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.971+03:00,210,-1,,-1,-1,3,0,-1,205
11,,,0,,351,HTTP/1.1,GET,https://www.musictheory.net/tools,9573,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.971+03:00,221,-1,,-1,-1,1,4,-1,216
12,,,0,,350,HTTP/1.1,GET,https://www.musictheory.net/news,4131,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:06.983+03:00,220,-1,,-1,-1,0,0,-1,218
13,,,0,,353,HTTP/1.1,GET,https://www.musictheory.net/contact,6088,,,text/html,0,506,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:07.192+03:00,211,-1,,-1,-1,0,0,-1,209
14,,,0,,349,HTTP/1.1,GET,https://www.musictheory.net/s/b,2,,,text/plain; charset=utf-8,0,452,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:07.204+03:00,258,-1,,-1,-1,3,3,-1,251
15,,,0,,499,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/8924d2ab988d571d7eb5565ebfe3f9a51c6aa5f2/home.png,10444,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:07.205+03:00,208,-1,,-1,-1,0,1,-1,206
16,,,0,,499,HTTP/1.1,GET,https://www.musictheory.net/vc/19/0/8c0715fc0390c0f6093afd577e99c57d1d3e58ba/site.png,41313,,,image/png,0,381,HTTP/1.1,,200,OK,66.175.219.138,2019-10-10T19:59:07.214+03:00,412,-1,,-1,-1,6,1,-1,404
