,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T15:48:48.219+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4096,,,0,1602,18,102,315,2,1566,104.18.73.2,,2042,,
1,,2019-10-08T15:48:48.586+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,567,2040,,,-1,-1,4,-1,112,1,-1,104.18.73.2,,118,value,
2,,2019-10-08T15:48:48.707+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,570,7681,,,-1,-1,16,-1,112,2,-1,104.18.73.2,,130,,
3,,2019-10-08T15:48:49.092+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,522,44432,,,-1,-1,73,-1,279,0,-1,104.18.73.2,,353,value,
4,,2019-10-08T15:48:50.493+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,1730,27,27,103,0,1700,172.217.22.110,,1890,,
5,,2019-10-08T15:48:50.649+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=23517233&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=794443365&gjid=1552745701&cid=191188796.1570538931&tid=UA-26211653-1&_gid=312265253.1570538931&_r=1&z=726232633,HTTP/1.1,710,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=191188796.1570538931&jid=794443365&_gid=312265253.1570538931&gjid=1552745701&_v=j79&z=726232633,643,416,,,-1,-1,0,-1,112,0,-1,172.217.22.110,,113,value,
6,,2019-10-08T15:48:51.664+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20646,,,0,2925,45,4,246,1,2898,172.217.18.174,,3223,,
7,,2019-10-08T15:48:51.972+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,561,41442,,,-1,-1,53,-1,88,0,-1,172.217.18.174,,142,,
8,,2019-10-08T15:48:52.101+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vflZdmLhS/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,145,33,0,135,1,110,172.217.18.174,,316,,
9,,2019-10-08T15:48:52.101+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflLF-qe_/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393173,,,0,160,290,0,140,1,108,172.217.18.174,,593,,
10,,2019-10-08T15:48:52.617+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,0,4000,79,33,118,1,3980,172.217.16.130,,4233,,
11,,2019-10-08T15:48:52.902+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflLF-qe_/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,30002,,,-1,-1,21,-1,95,0,-1,172.217.18.174,,117,,
12,,2019-10-08T15:48:53.035+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,106,-1,107,0,-1,172.217.16.130,,215,,
13,,2019-10-08T15:48:55.105+03:00,GET,https://yt3.ggpht.com/-3S_ingbAD6c/AAAAAAAAAAI/AAAAAAAAAAA/5VWHXs6ewR0/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,575,1649,,,0,2110,1,23,109,1,2079,216.58.207.65,,2244,,
14,,2019-10-08T15:48:56.059+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,2996,1,27,108,0,2968,172.217.16.162,,3134,value,
15,,2019-10-08T15:48:56.193+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,512,29,,,0,3347,0,32,93,1,3307,172.217.16.134,,3475,,
16,,2019-10-08T15:48:58.439+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,0,5381,9,0,86,1,5355,172.217.16.130,,5478,,
17,,2019-10-08T15:48:58.457+03:00,GET,https://www.google.com/js/bg/HrK92udDk6HoGDmAxeAPjdRCsXObyhVNLwAlDW4jykM.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,5306,,,0,5668,4,0,82,0,5636,172.217.18.4,,5756,,
18,,2019-10-08T15:48:58.495+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=6218061333&adk=1562799790&adf=2670983925&w=749&fwrn=4&fwrnh=100&lmt=1570538938&rafmt=1&guci=2.2.0.0.2.2.0.0&format=749x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&adsid=NT&dt=1570538933027&bpp=20&bdt=4464&fdt=5256&idt=5256&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=5305770774315&frm=20&pv=2&ga_vid=191188796.1570538931&ga_sid=1570538938&ga_hid=23517233&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=15&ady=81&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335%2C231196900%2C231196902&oid=3&pvsid=1386627518355857&pem=728&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=144&bc=31&ifi=1&uci=a!1&xpc=2ivrwpDIqF&p=https%3A//pokemonshowdown.com&dtd=5294,HTTP/1.1,1424,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19604,,,0,5677,52,27,298,1,5659,172.217.16.130,,6057,value,
